source_id,dataset,role,raw_file,api_query,resolved_selectors,rows,countries,years,raw_sha256
cmur_pct_env_ac_cur,env_ac_cur,CMUR analysis series,cmur_env_ac_cur.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_cur?lang=EN&freq=A&unit=PC&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'unit', 'code': 'PC', 'label': 'Percentage'}]",378,27,14,8651e4783f1e85b59174d730c880b92032084f2429a8167720a2b36ca1b87fae
cmur_sdg_comparator_sdg_12_41,sdg_12_41,CMUR published comparator,cmur_sdg_12_41.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sdg_12_41?lang=EN&freq=A&unit=PC&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'unit', 'code': 'PC', 'label': 'Percentage'}]",378,27,14,3cb1f05066b0bac8b187a1320e9c4817c6a9f1021a8a9de7c8b36fccc66df6f7
dmc_total_thousand_t_env_ac_mfa,env_ac_mfa,DMC total used for common-denominator per-capita series,dmc_total_env_ac_mfa.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_mfa?lang=EN&freq=A&indic_env=DMC&material=TOTAL&unit=THS_T&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'indic_env', 'code': 'DMC', 'label': 'Domestic material consumption'}, {'dimension': 'material', 'code': 'TOTAL', 'label': 'Total'}, {'dimension': 'unit', 'code': 'THS_T', 'label': 'Thousand tonnes'}]",378,27,14,f00fc5992d0f0db4f16620c82aa0064880c41387dcfe6bd24f15376ef7326fa2
dmc_published_pc_env_ac_mfa,env_ac_mfa,DMC published per-capita comparator,dmc_per_capita_env_ac_mfa.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_mfa?lang=EN&freq=A&indic_env=DMC&material=TOTAL&unit=T_HAB&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'indic_env', 'code': 'DMC', 'label': 'Domestic material consumption'}, {'dimension': 'material', 'code': 'TOTAL', 'label': 'Total'}, {'dimension': 'unit', 'code': 'T_HAB', 'label': 'Tonnes per capita'}]",378,27,14,30cf63f78a3d7bd299d7271be3e9432959b81a0c5029b37c29ab2386edefbcc0
rmc_total_thousand_t_env_ac_rme,env_ac_rme,RMC total used for common-denominator per-capita series,rmc_total_env_ac_rme.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_rme?lang=EN&freq=A&indic_env=RMC&material=TOTAL&unit=THS_T&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'indic_env', 'code': 'RMC', 'label': 'Raw material consumption'}, {'dimension': 'material', 'code': 'TOTAL', 'label': 'Total'}, {'dimension': 'unit', 'code': 'THS_T', 'label': 'Thousand tonnes'}]",378,27,14,613a6efa679ac7ac605e009aed5990a6eb5b3a5b617f694534b4224638f388ef
rmc_published_pc_env_ac_rme,env_ac_rme,RMC published per-capita comparator,rmc_per_capita_env_ac_rme.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_rme?lang=EN&freq=A&indic_env=RMC&material=TOTAL&unit=T_HAB&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'indic_env', 'code': 'RMC', 'label': 'Raw material consumption'}, {'dimension': 'material', 'code': 'TOTAL', 'label': 'Total'}, {'dimension': 'unit', 'code': 'T_HAB', 'label': 'Tonnes per capita'}]",378,27,14,94a9d054ed3e66d7eaac9d399c91ec74cb24a361ded3303a8a0bfd70a1d69ace
territorial_ghg_total_sdg_13_10,sdg_13_10,Territorial GHG total used for common-denominator per-capita series,territorial_ghg_total_sdg_13_10.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sdg_13_10?lang=EN&freq=A&unit=MTCO2E&src_crf=TOTX4_MEMO&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'unit', 'code': 'MTCO2E', 'label': 'Million tonnes of CO2 equivalent'}, {'dimension': 'src_crf', 'code': 'TOTX4_MEMO', 'label': 'Total (excluding LULUCF and memo items)'}]",378,27,14,f620849eece0361494c6dccc774a76133d74362d275b47251f7834d047281125
territorial_ghg_published_pc_sdg_13_10,sdg_13_10,Territorial GHG published per-capita comparator,territorial_ghg_per_capita_sdg_13_10.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sdg_13_10?lang=EN&freq=A&unit=T_HAB&src_crf=TOTX4_MEMO&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'unit', 'code': 'T_HAB', 'label': 'Tonnes per capita'}, {'dimension': 'src_crf', 'code': 'TOTX4_MEMO', 'label': 'Total (excluding LULUCF and memo items)'}]",378,27,14,2324c6d316970c0130403950cfdb7ba43fadd29bde933a9e9770f214e062a786
average_population_demo_gind,demo_gind,Common annual population denominator,average_population_demo_gind.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_gind?lang=EN&freq=A&indic_de=AVG&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'indic_de', 'code': 'AVG', 'label': 'Average population - total'}]",378,27,14,99ad0aad7a22c0823eab0226564519fbdc221cb45bb3fe86282e0943441efa6b
consumption_ghg_total_cli_gge_foot,cli_gge_foot,Consumption GHG footprint total used for common-denominator per-capita series,consumption_ghg_total_cli_gge_foot.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cli_gge_foot?lang=EN&freq=A&indic_env=AEMIS_CONS_FP&unit=THS_T&airpol=GHG&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,"[{'dimension': 'freq', 'code': 'A', 'label': 'Annual'}, {'dimension': 'indic_env', 'code': 'AEMIS_CONS_FP', 'label': 'Air emissions from consumption perspective (footprint)'}, {'dimension': 'unit', 'code': 'THS_T', 'label': 'Thousand tonnes'}, {'dimension': 'airpol', 'code': 'GHG', 'label': 'Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)'}]",378,27,14,3e2d1a9ef8a105fc738a44b9cdf9d6b6e15bbb90223c54db661d27b35d8a4024
