panel,panel_label,geo,material_rank,climate_rank,spearman_rho
CMUR_TERR,CMUR × Territorial GHG,AT,7.0,17.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,BE,6.0,11.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,BG,13.0,23.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,CY,9.0,20.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,CZ,3.0,15.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,DE,14.0,9.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,DK,17.0,5.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,EE,4.0,2.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,EL,11.0,7.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,ES,22.0,12.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,FI,26.0,4.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,FR,23.0,10.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,HR,10.0,27.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,HU,20.0,24.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,IE,21.0,19.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,IT,2.0,14.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,LT,19.0,25.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,LU,27.0,3.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,LV,12.0,26.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,MT,1.0,1.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,NL,8.0,8.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,PL,25.0,22.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,PT,18.0,16.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,RO,24.0,21.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,SE,15.0,6.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,SI,16.0,13.0,0.0921855921855921
CMUR_TERR,CMUR × Territorial GHG,SK,5.0,18.0,0.0921855921855921
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,AT,7.0,14.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,BE,6.0,8.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,BG,13.0,24.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,CY,9.0,15.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,CZ,3.0,17.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,DE,14.0,9.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,DK,17.0,10.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,EE,4.0,6.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,EL,11.0,4.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,ES,22.0,16.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,FI,26.0,3.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,FR,23.0,7.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,HR,10.0,26.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,HU,20.0,23.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,IE,21.0,25.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,IT,2.0,12.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,LT,19.0,19.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,LU,27.0,2.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,LV,12.0,22.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,MT,1.0,5.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,NL,8.0,11.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,PL,25.0,20.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,PT,18.0,13.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,RO,24.0,27.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,SE,15.0,1.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,SI,16.0,18.0,0.0842490842490842
CMUR_CFOOT,CMUR × Consumption-based GHG footprint,SK,5.0,21.0,0.0842490842490842
DMC_TERR,DMC × Territorial GHG,AT,11.0,17.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,BE,6.0,11.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,BG,23.0,23.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,CY,7.0,20.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,CZ,13.0,15.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,DE,4.0,9.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,DK,19.0,5.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,EE,14.0,2.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,EL,1.0,7.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,ES,5.0,12.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,FI,12.0,4.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,FR,8.0,10.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,HR,21.0,27.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,HU,25.0,24.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,IE,20.0,19.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,IT,3.0,14.0,0.4065934065934066
DMC_TERR,DMC × Territorial GHG,LT,26.0,25.0,0.4065934065934066
