geo,rank_shift_CMUR_to_DMC,rank_shift_DMC_to_RMC,rank_shift_TERR_to_CFOOT,point_sign_disagreement_CMUR_DMC,point_sign_disagreement_DMC_RMC,point_sign_disagreement_TERR_CFOOT
AT,4.0,-3.0,-3.0,False,False,False
BE,0.0,-2.0,-3.0,False,False,False
BG,10.0,2.0,1.0,True,False,True
CY,-2.0,-1.0,-5.0,False,False,False
CZ,10.0,4.0,2.0,False,True,False
DE,-10.0,12.0,0.0,False,True,False
DK,2.0,1.0,5.0,True,False,False
EE,10.0,4.0,4.0,True,False,False
EL,-10.0,0.0,-3.0,False,False,False
ES,-17.0,0.0,4.0,True,False,False
FI,-14.0,-5.0,-1.0,True,False,False
FR,-15.0,1.0,-3.0,True,False,False
HR,11.0,0.0,-1.0,True,False,False
HU,5.0,1.0,-1.0,True,False,True
IE,-1.0,2.0,6.0,False,False,True
IT,1.0,0.0,-2.0,False,False,False
LT,7.0,-2.0,-6.0,True,False,False
LU,-10.0,-15.0,-1.0,False,True,False
LV,12.0,-1.0,-4.0,True,False,True
MT,21.0,-7.0,4.0,True,False,False
NL,-6.0,9.0,3.0,False,False,False
PL,-10.0,-1.0,-2.0,False,False,False
PT,-8.0,0.0,-3.0,False,False,False
RO,3.0,0.0,6.0,False,False,True
SE,3.0,-6.0,-5.0,True,True,False
SI,0.0,-3.0,5.0,True,True,False
SK,4.0,10.0,3.0,False,True,False
