geo,rank_CMUR,rank_DMC,rank_RMC,rank_TERR,rank_CFOOT
AT,7.0,11.0,8.0,17.0,14.0
BE,6.0,6.0,4.0,11.0,8.0
BG,13.0,23.0,25.0,23.0,24.0
CY,9.0,7.0,6.0,20.0,15.0
CZ,3.0,13.0,17.0,15.0,17.0
DE,14.0,4.0,16.0,9.0,9.0
DK,17.0,19.0,20.0,5.0,10.0
EE,4.0,14.0,18.0,2.0,6.0
EL,11.0,1.0,1.0,7.0,4.0
ES,22.0,5.0,5.0,12.0,16.0
FI,26.0,12.0,7.0,4.0,3.0
FR,23.0,8.0,9.0,10.0,7.0
HR,10.0,21.0,21.0,27.0,26.0
HU,20.0,25.0,26.0,24.0,23.0
IE,21.0,20.0,22.0,19.0,25.0
IT,2.0,3.0,3.0,14.0,12.0
LT,19.0,26.0,24.0,25.0,19.0
LU,27.0,17.0,2.0,3.0,2.0
LV,12.0,24.0,23.0,26.0,22.0
MT,1.0,22.0,15.0,1.0,5.0
NL,8.0,2.0,11.0,8.0,11.0
PL,25.0,15.0,14.0,22.0,20.0
PT,18.0,10.0,10.0,16.0,13.0
RO,24.0,27.0,27.0,21.0,27.0
SE,15.0,18.0,12.0,6.0,1.0
SI,16.0,16.0,13.0,13.0,18.0
SK,5.0,9.0,19.0,18.0,21.0
