source,omitted_unit,n_countries,n_years,cell_metric,full_grid_range_metric,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,full_grid_minimum,full_grid_minimum_cell_key,full_grid_minimum_cell_label,full_grid_maximum,full_grid_maximum_cell_key,full_grid_maximum_cell_label,full_grid_range
FULL,FULL_2010_2023,27,14,Spearman rho,Difference in Spearman rho,0.0921855921855921,0.4065934065934066,0.5366300366300365,0.0842490842490842,0.4719169719169719,0.688034188034188,0.0842490842490842,d_CMUR_CFOOT,CMUR × consumption,0.688034188034188,f_RMC_CFOOT,RMC × consumption,0.6037851037851037
LOCO,AT,26,14,Spearman rho,Difference in Spearman rho,0.0933333333333333,0.4153846153846153,0.5528205128205128,0.0755555555555555,0.481025641025641,0.7066666666666667,0.0755555555555555,d_CMUR_CFOOT,CMUR × consumption,0.7066666666666667,f_RMC_CFOOT,RMC × consumption,0.6311111111111111
LOCO,BE,26,14,Spearman rho,Difference in Spearman rho,0.0741880341880341,0.4071794871794871,0.5452991452991452,0.0584615384615384,0.4755555555555555,0.6868376068376068,0.0584615384615384,d_CMUR_CFOOT,CMUR × consumption,0.6868376068376068,f_RMC_CFOOT,RMC × consumption,0.6283760683760683
LOCO,BG,26,14,Spearman rho,Difference in Spearman rho,0.1076923076923076,0.3429059829059829,0.4919658119658119,0.0912820512820512,0.4215384615384615,0.6574358974358974,0.0912820512820512,d_CMUR_CFOOT,CMUR × consumption,0.6574358974358974,f_RMC_CFOOT,RMC × consumption,0.5661538461538461
LOCO,HR,26,14,Spearman rho,Difference in Spearman rho,0.1295726495726495,0.3641025641025641,0.4974358974358974,0.1131623931623931,0.4338461538461537,0.6622222222222223,0.1131623931623931,d_CMUR_CFOOT,CMUR × consumption,0.6622222222222223,f_RMC_CFOOT,RMC × consumption,0.5490598290598291
LOCO,CY,26,14,Spearman rho,Difference in Spearman rho,0.0933333333333333,0.4297435897435897,0.5801709401709401,0.0735042735042734,0.4823931623931623,0.7141880341880341,0.0735042735042734,d_CMUR_CFOOT,CMUR × consumption,0.7141880341880341,f_RMC_CFOOT,RMC × consumption,0.6406837606837607
LOCO,CZ,26,14,Spearman rho,Difference in Spearman rho,0.096068376068376,0.4085470085470085,0.5268376068376068,0.0967521367521367,0.4652991452991452,0.6717948717948717,0.096068376068376,a_CMUR_TERR,CMUR × territorial,0.6717948717948717,f_RMC_CFOOT,RMC × consumption,0.5757264957264957
LOCO,DK,26,14,Spearman rho,Difference in Spearman rho,0.1152136752136752,0.4591452991452991,0.587008547008547,0.0953846153846153,0.4892307692307692,0.7162393162393161,0.0953846153846153,d_CMUR_CFOOT,CMUR × consumption,0.7162393162393161,f_RMC_CFOOT,RMC × consumption,0.6208547008547007
LOCO,EE,26,14,Spearman rho,Difference in Spearman rho,0.0003418803418803,0.442051282051282,0.5965811965811965,0.0372649572649572,0.5035897435897435,0.7258119658119657,0.0003418803418803,a_CMUR_TERR,CMUR × territorial,0.7258119658119657,f_RMC_CFOOT,RMC × consumption,0.7254700854700854
LOCO,FI,26,14,Spearman rho,Difference in Spearman rho,0.1897435897435897,0.4365811965811965,0.532991452991453,0.2061538461538461,0.4974358974358974,0.6861538461538461,0.1897435897435897,a_CMUR_TERR,CMUR × territorial,0.6861538461538461,f_RMC_CFOOT,RMC × consumption,0.4964102564102564
LOCO,FR,26,14,Spearman rho,Difference in Spearman rho,0.1329914529914529,0.4133333333333333,0.5521367521367521,0.1432478632478632,0.4803418803418803,0.6984615384615384,0.1329914529914529,a_CMUR_TERR,CMUR × territorial,0.6984615384615384,f_RMC_CFOOT,RMC × consumption,0.5654700854700854
LOCO,DE,26,14,Spearman rho,Difference in Spearman rho,0.1042735042735042,0.4044444444444444,0.5582905982905982,0.0953846153846153,0.4707692307692306,0.7059829059829059,0.0953846153846153,d_CMUR_CFOOT,CMUR × consumption,0.7059829059829059,f_RMC_CFOOT,RMC × consumption,0.6105982905982905
LOCO,EL,26,14,Spearman rho,Difference in Spearman rho,0.0851282051282051,0.401025641025641,0.5275213675213675,0.0837606837606837,0.4386324786324785,0.6629059829059828,0.0837606837606837,d_CMUR_CFOOT,CMUR × consumption,0.6629059829059828,f_RMC_CFOOT,RMC × consumption,0.579145299145299
LOCO,HU,26,14,Spearman rho,Difference in Spearman rho,0.0632478632478632,0.3442735042735042,0.4919658119658119,0.0447863247863247,0.4208547008547008,0.6574358974358974,0.0447863247863247,d_CMUR_CFOOT,CMUR × consumption,0.6574358974358974,f_RMC_CFOOT,RMC × consumption,0.6126495726495725
LOCO,IE,26,14,Spearman rho,Difference in Spearman rho,0.0707692307692307,0.3627350427350427,0.5022222222222221,0.0399999999999999,0.4338461538461537,0.6622222222222223,0.0399999999999999,d_CMUR_CFOOT,CMUR × consumption,0.6622222222222223,f_RMC_CFOOT,RMC × consumption,0.6222222222222222
LOCO,IT,26,14,Spearman rho,Difference in Spearman rho,0.096068376068376,0.4174358974358974,0.5521367521367521,0.0666666666666666,0.4803418803418803,0.7107692307692307,0.0666666666666666,d_CMUR_CFOOT,CMUR × consumption,0.7107692307692307,f_RMC_CFOOT,RMC × consumption,0.6441025641025641
LOCO,LV,26,14,Spearman rho,Difference in Spearman rho,0.1165811965811965,0.3449572649572649,0.4926495726495726,0.0864957264957265,0.4208547008547008,0.6588034188034186,0.0864957264957265,d_CMUR_CFOOT,CMUR × consumption,0.6588034188034186,f_RMC_CFOOT,RMC × consumption,0.5723076923076922
LOCO,LT,26,14,Spearman rho,Difference in Spearman rho,0.0632478632478632,0.3442735042735042,0.4926495726495726,0.0557264957264957,0.4393162393162393,0.6676923076923077,0.0557264957264957,d_CMUR_CFOOT,CMUR × consumption,0.6676923076923077,f_RMC_CFOOT,RMC × consumption,0.611965811965812
LOCO,LU,26,14,Spearman rho,Difference in Spearman rho,0.1897435897435897,0.4618803418803418,0.5049572649572649,0.2061538461538461,0.530940170940171,0.6594871794871794,0.1897435897435897,a_CMUR_TERR,CMUR × territorial,0.6594871794871794,f_RMC_CFOOT,RMC × consumption,0.4697435897435896
LOCO,MT,26,14,Spearman rho,Difference in Spearman rho,-0.0167521367521367,0.4974358974358974,0.5829059829059828,0.0256410256410256,0.545982905982906,0.7162393162393161,-0.0167521367521367,a_CMUR_TERR,CMUR × territorial,0.7162393162393161,f_RMC_CFOOT,RMC × consumption,0.7329914529914529
LOCO,NL,26,14,Spearman rho,Difference in Spearman rho,0.0639316239316239,0.401025641025641,0.5528205128205128,0.0721367521367521,0.4803418803418803,0.7073504273504274,0.0639316239316239,a_CMUR_TERR,CMUR × territorial,0.7073504273504274,f_RMC_CFOOT,RMC × consumption,0.6434188034188035
LOCO,PL,26,14,Spearman rho,Difference in Spearman rho,0.0502564102564102,0.3982905982905982,0.5439316239316239,0.0557264957264957,0.4659829059829059,0.6909401709401709,0.0502564102564102,a_CMUR_TERR,CMUR × territorial,0.6909401709401709,f_RMC_CFOOT,RMC × consumption,0.6406837606837607
LOCO,PT,26,14,Spearman rho,Difference in Spearman rho,0.0796581196581196,0.4153846153846153,0.5487179487179487,0.0789743589743589,0.481025641025641,0.7025641025641025,0.0789743589743589,d_CMUR_CFOOT,CMUR × consumption,0.7025641025641025,f_RMC_CFOOT,RMC × consumption,0.6235897435897435
LOCO,RO,26,14,Spearman rho,Difference in Spearman rho,0.0502564102564102,0.3545299145299145,0.5008547008547009,0.0126495726495726,0.4085470085470085,0.6505982905982907,0.0126495726495726,d_CMUR_CFOOT,CMUR × consumption,0.6505982905982907,f_RMC_CFOOT,RMC × consumption,0.637948717948718
LOCO,SK,26,14,Spearman rho,Difference in Spearman rho,0.0974358974358974,0.416068376068376,0.5056410256410256,0.12,0.4981196581196581,0.6615384615384615,0.0974358974358974,a_CMUR_TERR,CMUR × territorial,0.6615384615384615,f_RMC_CFOOT,RMC × consumption,0.5641025641025641
LOCO,SI,26,14,Spearman rho,Difference in Spearman rho,0.1049572649572649,0.4133333333333333,0.5411965811965811,0.0646153846153846,0.4591452991452991,0.6841025641025641,0.0646153846153846,d_CMUR_CFOOT,CMUR × consumption,0.6841025641025641,f_RMC_CFOOT,RMC × consumption,0.6194871794871795
LOCO,ES,26,14,Spearman rho,Difference in Spearman rho,0.122051282051282,0.4071794871794871,0.5452991452991452,0.0782905982905982,0.4871794871794871,0.7141880341880341,0.0782905982905982,d_CMUR_CFOOT,CMUR × consumption,0.7141880341880341,f_RMC_CFOOT,RMC × consumption,0.6358974358974359
LOCO,SE,26,14,Spearman rho,Difference in Spearman rho,0.1104273504273504,0.4591452991452991,0.5596581196581196,0.0974358974358974,0.530940170940171,0.7148717948717949,0.0974358974358974,d_CMUR_CFOOT,CMUR × consumption,0.7148717948717949,f_RMC_CFOOT,RMC × consumption,0.6174358974358974
LOYO,2010,27,13,Spearman rho,Difference in Spearman rho,0.1221001221001221,0.5164835164835165,0.5854700854700854,0.1196581196581196,0.5598290598290598,0.7344322344322345,0.1196581196581196,d_CMUR_CFOOT,CMUR × consumption,0.7344322344322345,f_RMC_CFOOT,RMC × consumption,0.6147741147741148
LOYO,2011,27,13,Spearman rho,Difference in Spearman rho,0.1282051282051282,0.4645909645909645,0.5915750915750917,0.1214896214896214,0.4987789987789987,0.7478632478632479,0.1214896214896214,d_CMUR_CFOOT,CMUR × consumption,0.7478632478632479,f_RMC_CFOOT,RMC × consumption,0.6263736263736264
LOYO,2012,27,13,Spearman rho,Difference in Spearman rho,0.1422466422466422,0.3931623931623931,0.5280830280830281,0.1251526251526251,0.431013431013431,0.6764346764346765,0.1251526251526251,d_CMUR_CFOOT,CMUR × consumption,0.6764346764346765,f_RMC_CFOOT,RMC × consumption,0.5512820512820513
LOYO,2013,27,13,Spearman rho,Difference in Spearman rho,0.0995115995115995,0.376068376068376,0.5097680097680098,0.0757020757020757,0.431013431013431,0.6733821733821733,0.0757020757020757,d_CMUR_CFOOT,CMUR × consumption,0.6733821733821733,f_RMC_CFOOT,RMC × consumption,0.5976800976800977
LOYO,2014,27,13,Spearman rho,Difference in Spearman rho,0.0958485958485958,0.3956043956043956,0.5433455433455433,0.0885225885225885,0.4749694749694749,0.7081807081807082,0.0885225885225885,d_CMUR_CFOOT,CMUR × consumption,0.7081807081807082,f_RMC_CFOOT,RMC × consumption,0.6196581196581197
LOYO,2015,27,13,Spearman rho,Difference in Spearman rho,0.0989010989010989,0.4157509157509158,0.532967032967033,0.075091575091575,0.4822954822954822,0.6929181929181929,0.075091575091575,d_CMUR_CFOOT,CMUR × consumption,0.6929181929181929,f_RMC_CFOOT,RMC × consumption,0.6178266178266179
LOYO,2016,27,13,Spearman rho,Difference in Spearman rho,0.0921855921855921,0.4065934065934066,0.5317460317460317,0.0903540903540903,0.459096459096459,0.68009768009768,0.0903540903540903,d_CMUR_CFOOT,CMUR × consumption,0.68009768009768,f_RMC_CFOOT,RMC × consumption,0.5897435897435896
LOYO,2017,27,13,Spearman rho,Difference in Spearman rho,0.0964590964590964,0.4023199023199023,0.5335775335775336,0.1025641025641025,0.4633699633699633,0.6892551892551892,0.0964590964590964,a_CMUR_TERR,CMUR × territorial,0.6892551892551892,f_RMC_CFOOT,RMC × consumption,0.5927960927960928
LOYO,2018,27,13,Spearman rho,Difference in Spearman rho,0.0964590964590964,0.4151404151404151,0.5305250305250305,0.0958485958485958,0.4731379731379732,0.6843711843711844,0.0958485958485958,d_CMUR_CFOOT,CMUR × consumption,0.6843711843711844,f_RMC_CFOOT,RMC × consumption,0.5885225885225885
LOYO,2019,27,13,Spearman rho,Difference in Spearman rho,0.13003663003663,0.4078144078144078,0.5525030525030524,0.1245421245421245,0.4768009768009768,0.7087912087912087,0.1245421245421245,d_CMUR_CFOOT,CMUR × consumption,0.7087912087912087,f_RMC_CFOOT,RMC × consumption,0.5842490842490842
LOYO,2020,27,13,Spearman rho,Difference in Spearman rho,0.1068376068376068,0.394993894993895,0.5763125763125762,0.119047619047619,0.4426129426129426,0.6953601953601952,0.1068376068376068,a_CMUR_TERR,CMUR × territorial,0.6953601953601952,f_RMC_CFOOT,RMC × consumption,0.5885225885225884
LOYO,2021,27,13,Spearman rho,Difference in Spearman rho,0.1013431013431013,0.3827838827838828,0.5164835164835165,0.0964590964590964,0.4401709401709401,0.6422466422466423,0.0964590964590964,d_CMUR_CFOOT,CMUR × consumption,0.6422466422466423,f_RMC_CFOOT,RMC × consumption,0.5457875457875458
LOYO,2022,27,13,Spearman rho,Difference in Spearman rho,0.0909645909645909,0.4114774114774114,0.5518925518925519,0.094017094017094,0.4706959706959707,0.7191697191697193,0.0909645909645909,a_CMUR_TERR,CMUR × territorial,0.7191697191697193,f_RMC_CFOOT,RMC × consumption,0.6282051282051283
LOYO,2023,27,13,Spearman rho,Difference in Spearman rho,0.119047619047619,0.398046398046398,0.4859584859584859,0.0866910866910866,0.4792429792429792,0.6923076923076923,0.0866910866910866,d_CMUR_CFOOT,CMUR × consumption,0.6923076923076923,f_RMC_CFOOT,RMC × consumption,0.6056166056166056
