geo,cell,material_minus_climate_rank
AT,CMUR×TERR,-10.0
AT,CMUR×CFOOT,-7.0
AT,DMC×TERR,-6.0
AT,DMC×CFOOT,-3.0
AT,RMC×TERR,-9.0
AT,RMC×CFOOT,-6.0
BE,CMUR×TERR,-5.0
BE,CMUR×CFOOT,-2.0
BE,DMC×TERR,-5.0
BE,DMC×CFOOT,-2.0
BE,RMC×TERR,-7.0
BE,RMC×CFOOT,-4.0
BG,CMUR×TERR,-10.0
BG,CMUR×CFOOT,-11.0
BG,DMC×TERR,0.0
BG,DMC×CFOOT,-1.0
BG,RMC×TERR,2.0
BG,RMC×CFOOT,1.0
CY,CMUR×TERR,-11.0
CY,CMUR×CFOOT,-6.0
CY,DMC×TERR,-13.0
CY,DMC×CFOOT,-8.0
CY,RMC×TERR,-14.0
CY,RMC×CFOOT,-9.0
CZ,CMUR×TERR,-12.0
CZ,CMUR×CFOOT,-14.0
CZ,DMC×TERR,-2.0
CZ,DMC×CFOOT,-4.0
CZ,RMC×TERR,2.0
CZ,RMC×CFOOT,0.0
DE,CMUR×TERR,5.0
DE,CMUR×CFOOT,5.0
DE,DMC×TERR,-5.0
DE,DMC×CFOOT,-5.0
DE,RMC×TERR,7.0
DE,RMC×CFOOT,7.0
DK,CMUR×TERR,12.0
DK,CMUR×CFOOT,7.0
DK,DMC×TERR,14.0
DK,DMC×CFOOT,9.0
DK,RMC×TERR,15.0
DK,RMC×CFOOT,10.0
EE,CMUR×TERR,2.0
EE,CMUR×CFOOT,-2.0
EE,DMC×TERR,12.0
EE,DMC×CFOOT,8.0
EE,RMC×TERR,16.0
EE,RMC×CFOOT,12.0
EL,CMUR×TERR,4.0
EL,CMUR×CFOOT,7.0
EL,DMC×TERR,-6.0
EL,DMC×CFOOT,-3.0
EL,RMC×TERR,-6.0
EL,RMC×CFOOT,-3.0
ES,CMUR×TERR,10.0
ES,CMUR×CFOOT,6.0
ES,DMC×TERR,-7.0
ES,DMC×CFOOT,-11.0
ES,RMC×TERR,-7.0
ES,RMC×CFOOT,-11.0
FI,CMUR×TERR,22.0
FI,CMUR×CFOOT,23.0
FI,DMC×TERR,8.0
FI,DMC×CFOOT,9.0
FI,RMC×TERR,3.0
FI,RMC×CFOOT,4.0
FR,CMUR×TERR,13.0
FR,CMUR×CFOOT,16.0
FR,DMC×TERR,-2.0
FR,DMC×CFOOT,1.0
FR,RMC×TERR,-1.0
FR,RMC×CFOOT,2.0
HR,CMUR×TERR,-17.0
HR,CMUR×CFOOT,-16.0
HR,DMC×TERR,-6.0
HR,DMC×CFOOT,-5.0
HR,RMC×TERR,-6.0
HR,RMC×CFOOT,-5.0
HU,CMUR×TERR,-4.0
HU,CMUR×CFOOT,-3.0
HU,DMC×TERR,1.0
HU,DMC×CFOOT,2.0
HU,RMC×TERR,2.0
HU,RMC×CFOOT,3.0
IE,CMUR×TERR,2.0
IE,CMUR×CFOOT,-4.0
IE,DMC×TERR,1.0
IE,DMC×CFOOT,-5.0
IE,RMC×TERR,3.0
IE,RMC×CFOOT,-3.0
IT,CMUR×TERR,-12.0
IT,CMUR×CFOOT,-10.0
IT,DMC×TERR,-11.0
IT,DMC×CFOOT,-9.0
IT,RMC×TERR,-11.0
IT,RMC×CFOOT,-9.0
LT,CMUR×TERR,-6.0
LT,CMUR×CFOOT,0.0
LT,DMC×TERR,1.0
LT,DMC×CFOOT,7.0
LT,RMC×TERR,-1.0
LT,RMC×CFOOT,5.0
LU,CMUR×TERR,24.0
LU,CMUR×CFOOT,25.0
LU,DMC×TERR,14.0
LU,DMC×CFOOT,15.0
LU,RMC×TERR,-1.0
LU,RMC×CFOOT,0.0
LV,CMUR×TERR,-14.0
LV,CMUR×CFOOT,-10.0
LV,DMC×TERR,-2.0
LV,DMC×CFOOT,2.0
LV,RMC×TERR,-3.0
LV,RMC×CFOOT,1.0
MT,CMUR×TERR,0.0
MT,CMUR×CFOOT,-4.0
MT,DMC×TERR,21.0
MT,DMC×CFOOT,17.0
MT,RMC×TERR,14.0
MT,RMC×CFOOT,10.0
NL,CMUR×TERR,0.0
NL,CMUR×CFOOT,-3.0
NL,DMC×TERR,-6.0
NL,DMC×CFOOT,-9.0
NL,RMC×TERR,3.0
NL,RMC×CFOOT,0.0
PL,CMUR×TERR,3.0
PL,CMUR×CFOOT,5.0
PL,DMC×TERR,-7.0
PL,DMC×CFOOT,-5.0
PL,RMC×TERR,-8.0
PL,RMC×CFOOT,-6.0
PT,CMUR×TERR,2.0
PT,CMUR×CFOOT,5.0
PT,DMC×TERR,-6.0
PT,DMC×CFOOT,-3.0
PT,RMC×TERR,-6.0
PT,RMC×CFOOT,-3.0
RO,CMUR×TERR,3.0
RO,CMUR×CFOOT,-3.0
RO,DMC×TERR,6.0
RO,DMC×CFOOT,0.0
RO,RMC×TERR,6.0
RO,RMC×CFOOT,0.0
SE,CMUR×TERR,9.0
SE,CMUR×CFOOT,14.0
SE,DMC×TERR,12.0
SE,DMC×CFOOT,17.0
SE,RMC×TERR,6.0
SE,RMC×CFOOT,11.0
SI,CMUR×TERR,3.0
SI,CMUR×CFOOT,-2.0
SI,DMC×TERR,3.0
SI,DMC×CFOOT,-2.0
SI,RMC×TERR,0.0
SI,RMC×CFOOT,-5.0
SK,CMUR×TERR,-13.0
SK,CMUR×CFOOT,-16.0
SK,DMC×TERR,-9.0
SK,DMC×CFOOT,-12.0
SK,RMC×TERR,1.0
SK,RMC×CFOOT,-2.0
