period,analysis_label,geo,spec,estimator,cmur_mode,years,n_years,CMUR,DMC,RMC,TERR,CFOOT
FULL_2010_2023,primary,AT,primary_common_pc,OLS,pp,2010-2023,14,0.46197802197801874,0.007097422628061817,0.008482036489129338,0.017199226731731142,0.013970808105932781
FULL_2010_2023,primary,BE,primary_common_pc,OLS,pp,2010-2023,14,0.5338461538461536,0.009791138573222145,0.01779476480303815,0.02182785221156428,0.02035528291314555
FULL_2010_2023,primary,BG,primary_common_pc,OLS,pp,2010-2023,14,0.21692307692307616,-0.0283877847637859,-0.041630092820472,0.003256955452647425,-0.0070957069805913575
FULL_2010_2023,primary,HR,primary_common_pc,OLS,pp,2010-2023,14,0.32131868131868024,-0.01697912756524536,-0.014983230303764552,-0.0016257853532976195,-0.011419157556648204
FULL_2010_2023,primary,CY,primary_common_pc,OLS,pp,2010-2023,14,0.36219780219779746,0.00899470822666715,0.009800759612686285,0.009945842711918151,0.01378443269023849
FULL_2010_2023,primary,CZ,primary_common_pc,OLS,pp,2010-2023,14,0.6156043956043893,0.003762111151553908,-0.001964523688753195,0.01954572533650457,0.012708189290676014
FULL_2010_2023,primary,DK,primary_common_pc,OLS,pp,2010-2023,14,0.10725274725274421,-0.006219357714132252,-0.014468595974970036,0.03879163332152221,0.019577181381902786
FULL_2010_2023,primary,EE,primary_common_pc,OLS,pp,2010-2023,14,0.603516483516483,-0.001025394931605949,-0.0033610115355586796,0.052530181472397616,0.023471438086121718
FULL_2010_2023,primary,FI,primary_common_pc,OLS,pp,2010-2023,14,-0.5380219780219733,0.006860744976206743,0.009345462115101549,0.04033429677525207,0.032098163868715016
FULL_2010_2023,primary,FR,primary_common_pc,OLS,pp,2010-2023,14,-0.11714285714285537,0.007869524443668204,0.007787615803104178,0.02416055218030393,0.021069062886092733
FULL_2010_2023,primary,DE,primary_common_pc,OLS,pp,2010-2023,14,0.21274725274724973,0.015034131305449708,-0.0019495145033434386,0.026142977049978644,0.019937922640967436
FULL_2010_2023,primary,EL,primary_common_pc,OLS,pp,2010-2023,14,0.3206593406593357,0.034654679128397016,0.03272631622576255,0.032822931306744206,0.028654475040789728
FULL_2010_2023,primary,HU,primary_common_pc,OLS,pp,2010-2023,14,0.009450549450550178,-0.03523712768131087,-0.04918988512444411,0.0019828200240636687,-0.005111004790200879
FULL_2010_2023,primary,IE,primary_common_pc,OLS,pp,2010-2023,14,-0.0021978021978023283,-0.009075523420293795,-0.01949396419488649,0.01371766319713161,-0.009143064281672716
