geo,period,rank_common_DMC,rank_published_DMC,rank_displacement_DMC,rank_common_RMC,rank_published_RMC,rank_displacement_RMC,rank_common_TERR,rank_published_TERR,rank_displacement_TERR,rank_common_CFOOT,rank_published_CFOOT,rank_displacement_CFOOT
AT,FULL_2010_2023,11.0,10.0,-1.0,8.0,8.0,0.0,17.0,16.0,-1.0,14.0,13.0,-1.0
BE,FULL_2010_2023,6.0,6.0,0.0,4.0,4.0,0.0,11.0,12.0,1.0,8.0,8.0,0.0
BG,FULL_2010_2023,23.0,23.0,0.0,25.0,25.0,0.0,23.0,23.0,0.0,24.0,24.0,0.0
CY,FULL_2010_2023,7.0,7.0,0.0,6.0,6.0,0.0,20.0,20.0,0.0,15.0,14.0,-1.0
CZ,FULL_2010_2023,13.0,13.0,0.0,17.0,17.0,0.0,15.0,14.0,-1.0,17.0,17.0,0.0
DE,FULL_2010_2023,4.0,4.0,0.0,16.0,16.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0
DK,FULL_2010_2023,19.0,19.0,0.0,20.0,20.0,0.0,5.0,5.0,0.0,10.0,10.0,0.0
EE,FULL_2010_2023,14.0,14.0,0.0,18.0,18.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0
EL,FULL_2010_2023,1.0,1.0,0.0,1.0,1.0,0.0,7.0,7.0,0.0,4.0,4.0,0.0
ES,FULL_2010_2023,5.0,5.0,0.0,5.0,5.0,0.0,12.0,11.0,-1.0,16.0,16.0,0.0
FI,FULL_2010_2023,12.0,11.0,-1.0,7.0,7.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0
FR,FULL_2010_2023,8.0,8.0,0.0,9.0,9.0,0.0,10.0,10.0,0.0,7.0,7.0,0.0
HR,FULL_2010_2023,21.0,21.0,0.0,21.0,21.0,0.0,27.0,27.0,0.0,26.0,26.0,0.0
HU,FULL_2010_2023,25.0,25.0,0.0,26.0,26.0,0.0,24.0,24.0,0.0,23.0,23.0,0.0
IE,FULL_2010_2023,20.0,20.0,0.0,22.0,22.0,0.0,19.0,19.0,0.0,25.0,25.0,0.0
IT,FULL_2010_2023,3.0,3.0,0.0,3.0,3.0,0.0,14.0,15.0,1.0,12.0,12.0,0.0
LT,FULL_2010_2023,26.0,26.0,0.0,24.0,24.0,0.0,25.0,25.0,0.0,19.0,19.0,0.0
LU,FULL_2010_2023,17.0,17.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0
LV,FULL_2010_2023,24.0,24.0,0.0,23.0,23.0,0.0,26.0,26.0,0.0,22.0,22.0,0.0
MT,FULL_2010_2023,22.0,22.0,0.0,15.0,15.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0
NL,FULL_2010_2023,2.0,2.0,0.0,11.0,11.0,0.0,8.0,8.0,0.0,11.0,11.0,0.0
PL,FULL_2010_2023,15.0,15.0,0.0,14.0,14.0,0.0,22.0,22.0,0.0,20.0,20.0,0.0
PT,FULL_2010_2023,10.0,12.0,2.0,10.0,10.0,0.0,16.0,17.0,1.0,13.0,15.0,2.0
RO,FULL_2010_2023,27.0,27.0,0.0,27.0,27.0,0.0,21.0,21.0,0.0,27.0,27.0,0.0
SE,FULL_2010_2023,18.0,18.0,0.0,12.0,12.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0
SI,FULL_2010_2023,16.0,16.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,18.0,18.0,0.0
SK,FULL_2010_2023,9.0,9.0,0.0,19.0,19.0,0.0,18.0,18.0,0.0,21.0,21.0,0.0
AT,EARLY_2010_2016,12.0,12.0,0.0,12.0,12.0,0.0,13.0,14.0,1.0,13.0,13.0,0.0
BE,EARLY_2010_2016,10.0,10.0,0.0,16.0,16.0,0.0,9.0,9.0,0.0,14.0,14.0,0.0
BG,EARLY_2010_2016,23.0,23.0,0.0,23.0,23.0,0.0,26.0,26.0,0.0,24.0,24.0,0.0
CY,EARLY_2010_2016,1.0,1.0,0.0,1.0,1.0,0.0,12.0,10.0,-2.0,3.0,3.0,0.0
CZ,EARLY_2010_2016,15.0,15.0,0.0,18.0,18.0,0.0,15.0,16.0,1.0,15.0,15.0,0.0
DE,EARLY_2010_2016,16.0,16.0,0.0,14.0,14.0,0.0,21.0,21.0,0.0,22.0,22.0,0.0
DK,EARLY_2010_2016,20.0,20.0,0.0,22.0,22.0,0.0,4.0,4.0,0.0,18.0,18.0,0.0
EE,EARLY_2010_2016,19.0,19.0,0.0,17.0,17.0,0.0,18.0,18.0,0.0,27.0,27.0,0.0
EL,EARLY_2010_2016,4.0,4.0,0.0,3.0,3.0,0.0,6.0,5.0,-1.0,2.0,2.0,0.0
ES,EARLY_2010_2016,3.0,3.0,0.0,2.0,2.0,0.0,14.0,15.0,1.0,7.0,7.0,0.0
FI,EARLY_2010_2016,8.0,8.0,0.0,8.0,8.0,0.0,3.0,3.0,0.0,5.0,5.0,0.0
FR,EARLY_2010_2016,9.0,9.0,0.0,11.0,11.0,0.0,10.0,11.0,1.0,12.0,12.0,0.0
HR,EARLY_2010_2016,14.0,14.0,0.0,15.0,15.0,0.0,17.0,13.0,-4.0,16.0,16.0,0.0
HU,EARLY_2010_2016,25.0,25.0,0.0,27.0,27.0,0.0,22.0,22.0,0.0,21.0,21.0,0.0
IE,EARLY_2010_2016,17.0,17.0,0.0,19.0,19.0,0.0,25.0,25.0,0.0,26.0,26.0,0.0
IT,EARLY_2010_2016,2.0,2.0,0.0,4.0,4.0,0.0,7.0,7.0,0.0,4.0,4.0,0.0
