geo,years_n,flag_i_n,blank_n,other_flag_n,flag_i_years
BG,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
EL,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ES,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
FI,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
HU,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
IE,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
IT,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
LV,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
NL,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
PL,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
SE,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
SK,14,14,0,0,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
BE,14,3,11,0,2021;2022;2023
EE,14,1,13,0,2023
AT,14,0,14,0,
CY,14,0,14,0,
CZ,14,0,14,0,
DE,14,0,14,0,
DK,14,0,14,0,
FR,14,0,14,0,
HR,14,0,14,0,
LT,14,0,14,0,
LU,14,0,14,0,
MT,14,0,14,0,
PT,14,0,14,0,
RO,14,0,14,0,
SI,14,0,14,0,
