diagnostic,estimand,min,max,sign_reversals
LOCO,D1_b_minus_a,0.22837606837606833,0.5141880341880342,0
LOYO,D1_b_minus_a,0.2509157509157509,0.3943833943833944,0
LOCO,D2_c_minus_b,0.04307692307692307,0.15452991452991444,0
LOYO,D2_c_minus_b,0.06898656898656885,0.18131868131868117,0
LOCO,D3_f_minus_c,0.12923076923076915,0.1750427350427351,0
LOYO,D3_f_minus_c,0.11904761904761907,0.20634920634920634,0
LOCO,D_TOTAL_f_minus_a,0.46974358974358965,0.7329914529914529,0
LOYO,D_TOTAL_f_minus_a,0.5341880341880343,0.6282051282051283,0
CMUR_even_year,D_TOTAL_f_minus_a,0.5695970695970696,0.5695970695970696,0
published_pc,D_TOTAL_f_minus_a,0.6031746031746031,0.6031746031746031,0
common_log_CMUR,D_TOTAL_f_minus_a,0.7960927960927962,0.7960927960927962,0
Theil_Sen,D_TOTAL_f_minus_a,0.7148962148962148,0.7148962148962148,0
total_scale,D_TOTAL_f_minus_a,0.43040293040293043,0.43040293040293043,0
