period,spec,estimator,cmur_mode,variable,canonical_value_12dp,n_tied,geos,raw_min,raw_max,raw_span
EARLY_2010_2016,primary_common_pc,OLS,pp,CMUR,0.071428571429,2,PT;SK,0.07142857142857365,0.07142857142857388,2.3592239273284576e-16
EARLY_2010_2016,primary_common_pc,OLS,pp,CMUR,0.360714285714,2,BG;CZ,0.36071428571428854,0.36071428571429476,6.217248937900877e-15
EARLY_2010_2016,primary_common_pc,OLS,pp,CMUR,0.760714285714,2,BE;NL,0.7607142857142734,0.7607142857143038,3.042011087472929e-14
EARLY_2010_2016,published_pc,OLS,pp,CMUR,0.071428571429,2,PT;SK,0.07142857142857365,0.07142857142857388,2.3592239273284576e-16
EARLY_2010_2016,published_pc,OLS,pp,CMUR,0.360714285714,2,BG;CZ,0.36071428571428854,0.36071428571429476,6.217248937900877e-15
EARLY_2010_2016,published_pc,OLS,pp,CMUR,0.760714285714,2,BE;NL,0.7607142857142734,0.7607142857143038,3.042011087472929e-14
EARLY_2010_2016,primary_common_pc,THEIL_SEN,pp,CMUR,0.1,4,CY;EE;HU;SK,0.09999999999999964,0.1,3.608224830031759e-16
EARLY_2010_2016,total_scale,OLS,pp,CMUR,0.071428571429,2,PT;SK,0.07142857142857365,0.07142857142857388,2.3592239273284576e-16
EARLY_2010_2016,total_scale,OLS,pp,CMUR,0.360714285714,2,BG;CZ,0.36071428571428854,0.36071428571429476,6.217248937900877e-15
EARLY_2010_2016,total_scale,OLS,pp,CMUR,0.760714285714,2,BE;NL,0.7607142857142734,0.7607142857143038,3.042011087472929e-14
LATE_2017_2023,primary_common_pc,THEIL_SEN,pp,CMUR,0.04,2,AT;IE,0.039999999999999855,0.040000000000000036,1.8041124150158794e-16
LATE_2017_2023,primary_common_pc,THEIL_SEN,pp,CMUR,0.25,2,BE;HR,0.25,0.25,0.0
