block_length,representation,geo,rank_median,rank_diagnostic_q025,rank_diagnostic_q975
2,CMUR,AT,7.0,3.0,11.0
2,CMUR,BE,6.0,3.0,11.0
2,CMUR,BG,14.0,10.0,17.0
2,CMUR,HR,10.0,8.0,13.0
2,CMUR,CY,9.0,6.0,14.0
2,CMUR,CZ,4.0,2.0,6.0
2,CMUR,DK,17.0,14.0,20.0
2,CMUR,EE,4.0,2.0,15.0
2,CMUR,FI,26.0,24.0,26.0
2,CMUR,FR,23.0,17.0,25.0
2,CMUR,DE,14.0,12.0,16.0
2,CMUR,EL,10.0,7.0,14.0
2,CMUR,HU,20.0,17.0,22.0
2,CMUR,IE,21.0,19.0,22.0
2,CMUR,IT,2.0,2.0,5.0
2,CMUR,LV,13.0,7.0,18.0
2,CMUR,LT,19.0,17.0,21.0
2,CMUR,LU,27.0,25.0,27.0
2,CMUR,MT,1.0,1.0,1.0
2,CMUR,NL,7.0,4.0,11.0
2,CMUR,PL,25.0,24.0,27.0
2,CMUR,PT,17.0,16.0,20.0
2,CMUR,RO,23.0,23.0,24.0
2,CMUR,SK,5.0,2.0,9.0
2,CMUR,SI,15.0,10.0,19.0
2,CMUR,ES,22.0,18.0,24.0
2,CMUR,SE,14.0,8.0,21.0
2,DMC,AT,10.0,5.0,13.0
2,DMC,BE,7.0,4.0,12.0
2,DMC,BG,23.0,22.0,25.0
2,DMC,HR,21.0,18.0,23.0
2,DMC,CY,8.0,1.0,22.0
2,DMC,CZ,13.0,8.0,14.0
2,DMC,DK,18.0,15.0,20.0
2,DMC,EE,15.0,5.0,21.0
2,DMC,FI,10.0,6.0,14.0
2,DMC,FR,9.0,5.0,12.0
2,DMC,DE,4.0,3.0,10.0
2,DMC,EL,1.0,1.0,2.0
2,DMC,HU,25.0,22.0,27.0
2,DMC,IE,20.0,16.0,21.0
2,DMC,IT,3.0,2.0,9.0
2,DMC,LV,24.0,22.0,25.0
2,DMC,LT,26.0,24.0,26.0
2,DMC,LU,16.0,12.0,20.0
2,DMC,MT,22.0,14.0,26.0
2,DMC,NL,2.0,1.0,5.0
2,DMC,PL,15.0,13.0,19.0
2,DMC,PT,9.0,6.0,13.0
2,DMC,RO,27.0,26.0,27.0
2,DMC,SK,9.0,4.0,13.0
2,DMC,SI,16.0,10.0,21.0
2,DMC,ES,5.0,4.0,15.0
2,DMC,SE,18.0,14.0,20.0
2,RMC,AT,8.0,5.0,13.0
2,RMC,BE,4.0,2.0,9.0
2,RMC,BG,25.0,24.0,26.0
2,RMC,HR,21.0,19.0,22.0
2,RMC,CY,7.0,1.0,23.0
2,RMC,CZ,16.0,10.0,18.0
2,RMC,DK,20.0,17.0,22.0
2,RMC,EE,17.0,7.0,20.0
2,RMC,FI,7.0,4.0,12.0
2,RMC,FR,8.0,5.0,12.0
2,RMC,DE,16.0,10.0,19.0
2,RMC,EL,1.0,1.0,3.0
2,RMC,HU,26.0,25.0,27.0
2,RMC,IE,22.0,19.0,24.0
2,RMC,IT,3.0,2.0,6.0
2,RMC,LV,23.0,19.0,24.0
2,RMC,LT,24.0,23.0,25.0
2,RMC,LU,2.0,1.0,5.0
2,RMC,MT,14.0,9.0,19.0
2,RMC,NL,11.0,6.0,18.0
2,RMC,PL,14.0,10.0,18.0
2,RMC,PT,10.0,6.0,14.0
2,RMC,RO,27.0,26.0,27.0
2,RMC,SK,19.0,11.0,22.0
2,RMC,SI,14.0,8.0,19.0
2,RMC,ES,6.0,4.0,16.0
2,RMC,SE,12.0,5.0,17.0
2,TERR,AT,16.0,15.0,18.0
2,TERR,BE,12.0,9.0,15.0
2,TERR,BG,23.0,20.0,27.0
2,TERR,HR,27.0,22.0,27.0
2,TERR,CY,20.0,18.0,22.0
2,TERR,CZ,15.0,12.0,16.0
2,TERR,DK,5.0,4.0,5.0
2,TERR,EE,2.0,1.0,6.0
2,TERR,FI,4.0,3.0,5.0
2,TERR,FR,10.0,9.0,12.0
2,TERR,DE,9.0,8.0,14.0
2,TERR,EL,7.0,6.0,8.0
2,TERR,HU,24.0,21.0,27.0
2,TERR,IE,19.0,17.0,20.0
2,TERR,IT,14.0,8.0,19.0
2,TERR,LV,26.0,24.0,27.0
2,TERR,LT,25.0,22.0,27.0
2,TERR,LU,2.0,1.0,3.0
2,TERR,MT,2.0,1.0,7.0
2,TERR,NL,8.0,5.0,9.0
2,TERR,PL,23.0,22.0,25.0
2,TERR,PT,16.0,10.0,20.0
2,TERR,RO,21.0,20.0,22.0
2,TERR,SK,18.0,16.0,19.0
2,TERR,SI,13.0,9.0,16.0
2,TERR,ES,12.0,10.0,16.0
2,TERR,SE,6.0,5.0,8.0
2,CFOOT,AT,14.0,11.0,18.0
2,CFOOT,BE,9.0,6.0,11.0
2,CFOOT,BG,24.0,23.0,26.0
2,CFOOT,HR,26.0,23.0,27.0
2,CFOOT,CY,15.0,6.0,21.0
2,CFOOT,CZ,16.0,13.0,19.0
2,CFOOT,DK,10.0,6.0,13.0
2,CFOOT,EE,6.0,1.0,20.0
2,CFOOT,FI,4.0,1.0,5.0
2,CFOOT,FR,7.0,6.0,11.0
2,CFOOT,DE,9.0,6.0,15.0
2,CFOOT,EL,5.0,2.0,7.0
2,CFOOT,HU,24.0,22.0,25.0
2,CFOOT,IE,25.0,18.0,27.0
2,CFOOT,IT,12.0,6.0,16.0
2,CFOOT,LV,22.0,19.0,24.0
2,CFOOT,LT,18.0,13.0,20.0
2,CFOOT,LU,2.0,1.0,4.0
2,CFOOT,MT,5.0,1.0,16.0
2,CFOOT,NL,11.0,5.0,15.0
2,CFOOT,PL,20.0,19.0,22.0
2,CFOOT,PT,13.0,8.0,18.0
2,CFOOT,RO,26.0,25.0,27.0
2,CFOOT,SK,21.0,20.0,23.0
2,CFOOT,SI,17.0,12.0,19.0
2,CFOOT,ES,16.0,11.0,19.0
2,CFOOT,SE,2.0,1.0,4.0
3,CMUR,AT,7.0,3.0,11.0
3,CMUR,BE,6.0,3.0,11.0
3,CMUR,BG,14.0,10.0,16.0
3,CMUR,HR,10.0,8.0,13.0
3,CMUR,CY,9.0,6.0,14.0
3,CMUR,CZ,4.0,3.0,6.0
3,CMUR,DK,17.0,14.0,20.0
3,CMUR,EE,4.0,2.0,15.0
3,CMUR,FI,26.0,24.0,26.0
3,CMUR,FR,23.0,17.0,25.0
3,CMUR,DE,14.0,12.0,16.0
3,CMUR,EL,11.0,7.0,14.0
3,CMUR,HU,20.0,17.0,22.0
3,CMUR,IE,21.0,19.0,22.0
3,CMUR,IT,2.0,1.9750000000000227,5.0
