block_length,comparison_key,geo,rank_displacement_median,rank_displacement_diagnostic_q025,rank_displacement_diagnostic_q975,mean_abs_rank_displacement_across_bootstrap
2,CMUR_to_DMC,AT,3.0,-3.0,7.0,3.2008
2,CMUR_to_DMC,BE,1.0,-4.0,6.0,2.436
2,CMUR_to_DMC,BG,9.0,6.0,13.0,9.4389
2,CMUR_to_DMC,HR,11.0,9.0,13.0,10.8188
2,CMUR_to_DMC,CY,-1.0,-11.0,15.0,6.9573
2,CMUR_to_DMC,CZ,8.0,4.0,10.0,8.08165
2,CMUR_to_DMC,DK,1.0,-2.0,4.0,1.5581
2,CMUR_to_DMC,EE,10.0,0.0,16.0,9.1668
2,CMUR_to_DMC,FI,-16.0,-20.0,-11.0,15.8715
2,CMUR_to_DMC,FR,-14.0,-19.0,-8.0,14.0271
2,CMUR_to_DMC,DE,-9.0,-11.0,-5.0,8.8992
2,CMUR_to_DMC,EL,-9.0,-13.0,-6.0,9.4682
2,CMUR_to_DMC,HU,4.0,0.0,9.0,4.3294
2,CMUR_to_DMC,IE,-1.0,-5.0,1.0,1.6713
2,CMUR_to_DMC,IT,1.0,-1.0,4.0,0.9853
2,CMUR_to_DMC,LV,12.0,7.0,16.0,11.5475
2,CMUR_to_DMC,LT,7.0,4.0,9.0,6.5309
2,CMUR_to_DMC,LU,-11.0,-14.0,-7.0,10.9847
2,CMUR_to_DMC,MT,21.0,13.0,25.0,20.7592
2,CMUR_to_DMC,NL,-5.0,-9.0,-1.0,4.776
2,CMUR_to_DMC,PL,-10.0,-12.0,-7.0,9.7925
2,CMUR_to_DMC,PT,-8.0,-12.0,-4.0,8.1404
2,CMUR_to_DMC,RO,3.0,2.0,4.0,3.4642
2,CMUR_to_DMC,SK,4.0,0.0,8.0,3.78675
2,CMUR_to_DMC,SI,1.0,-3.0,4.0,1.5873
2,CMUR_to_DMC,ES,-17.0,-20.0,-4.0,14.8924
2,CMUR_to_DMC,SE,3.0,-3.0,9.0,3.8672
2,DMC_to_RMC,AT,-2.0,-6.0,3.0,2.2248
2,DMC_to_RMC,BE,-3.0,-10.0,3.0,3.2938
2,DMC_to_RMC,BG,2.0,0.0,4.0,2.1739
2,DMC_to_RMC,HR,-1.0,-3.0,2.0,0.9048
2,DMC_to_RMC,CY,0.0,-3.0249999999999773,2.0,1.0085
2,DMC_to_RMC,CZ,3.0,0.0,6.0,3.298
2,DMC_to_RMC,DK,2.0,1.0,4.0,2.3671
2,DMC_to_RMC,EE,1.0,-2.0,5.0,1.7872
2,DMC_to_RMC,FI,-2.0,-6.0,1.0,2.5664
2,DMC_to_RMC,FR,0.0,-4.0,2.0,1.2267
2,DMC_to_RMC,DE,11.0,5.0,15.0,10.5752
2,DMC_to_RMC,EL,0.0,-1.0,1.0,0.2079
2,DMC_to_RMC,HU,1.0,0.0,4.0,1.6
