block_length,comparison_key,geo,point_slope_sign_disagreement_bootstrap_frequency
2,CMUR_to_DMC,AT,0.0
2,CMUR_to_DMC,BE,0.0
2,CMUR_to_DMC,BG,1.0
2,CMUR_to_DMC,HR,1.0
2,CMUR_to_DMC,CY,0.3109
2,CMUR_to_DMC,CZ,0.1011
2,CMUR_to_DMC,DK,0.9619
2,CMUR_to_DMC,EE,0.5682
2,CMUR_to_DMC,FI,0.9636
2,CMUR_to_DMC,FR,0.8574
2,CMUR_to_DMC,DE,0.0
2,CMUR_to_DMC,EL,0.0
2,CMUR_to_DMC,HU,0.5748
2,CMUR_to_DMC,IE,0.4017
2,CMUR_to_DMC,IT,0.0031
2,CMUR_to_DMC,LV,0.9992
2,CMUR_to_DMC,LT,0.9419
2,CMUR_to_DMC,LU,0.206
2,CMUR_to_DMC,MT,0.9787
2,CMUR_to_DMC,NL,0.0
2,CMUR_to_DMC,PL,0.3056
2,CMUR_to_DMC,PT,0.0907
2,CMUR_to_DMC,RO,0.0
2,CMUR_to_DMC,SK,0.0209
2,CMUR_to_DMC,SI,0.6668
2,CMUR_to_DMC,ES,0.8339
2,CMUR_to_DMC,SE,0.9372
2,DMC_to_RMC,AT,0.0037
2,DMC_to_RMC,BE,0.0002
2,DMC_to_RMC,BG,0.0
2,DMC_to_RMC,HR,0.0
2,DMC_to_RMC,CY,0.0211
2,DMC_to_RMC,CZ,0.5761
2,DMC_to_RMC,DK,0.0248
2,DMC_to_RMC,EE,0.1574
2,DMC_to_RMC,FI,0.0328
2,DMC_to_RMC,FR,0.0004
2,DMC_to_RMC,DE,0.7795
2,DMC_to_RMC,EL,0.0
2,DMC_to_RMC,HU,0.0
2,DMC_to_RMC,IE,0.009
2,DMC_to_RMC,IT,0.0031
2,DMC_to_RMC,LV,0.0004
2,DMC_to_RMC,LT,0.0
2,DMC_to_RMC,LU,0.7938
2,DMC_to_RMC,MT,0.4602
2,DMC_to_RMC,NL,0.289
2,DMC_to_RMC,PL,0.1779
2,DMC_to_RMC,PT,0.0647
2,DMC_to_RMC,RO,0.0
2,DMC_to_RMC,SK,0.8599
2,DMC_to_RMC,SI,0.2292
2,DMC_to_RMC,ES,0.059
2,DMC_to_RMC,SE,0.813
2,TERR_to_CFOOT,AT,0.0
2,TERR_to_CFOOT,BE,0.0
2,TERR_to_CFOOT,BG,0.7178
2,TERR_to_CFOOT,HR,0.2807
2,TERR_to_CFOOT,CY,0.0231
2,TERR_to_CFOOT,CZ,0.0
2,TERR_to_CFOOT,DK,0.0
2,TERR_to_CFOOT,EE,0.0006
2,TERR_to_CFOOT,FI,0.0
2,TERR_to_CFOOT,FR,0.0
2,TERR_to_CFOOT,DE,0.0
2,TERR_to_CFOOT,EL,0.0
2,TERR_to_CFOOT,HU,0.6108
2,TERR_to_CFOOT,IE,0.8346
2,TERR_to_CFOOT,IT,0.0
2,TERR_to_CFOOT,LV,0.5341
2,TERR_to_CFOOT,LT,0.4423
2,TERR_to_CFOOT,LU,0.0
2,TERR_to_CFOOT,MT,0.0001
2,TERR_to_CFOOT,NL,0.0
2,TERR_to_CFOOT,PL,0.0634
2,TERR_to_CFOOT,PT,0.0002
2,TERR_to_CFOOT,RO,0.9946
2,TERR_to_CFOOT,SK,0.2148
2,TERR_to_CFOOT,SI,0.0001
2,TERR_to_CFOOT,ES,0.0
2,TERR_to_CFOOT,SE,0.0
3,CMUR_to_DMC,AT,0.0
3,CMUR_to_DMC,BE,0.0
3,CMUR_to_DMC,BG,1.0
3,CMUR_to_DMC,HR,1.0
3,CMUR_to_DMC,CY,0.3107
3,CMUR_to_DMC,CZ,0.0766
3,CMUR_to_DMC,DK,0.9752
3,CMUR_to_DMC,EE,0.5631
3,CMUR_to_DMC,FI,0.966
3,CMUR_to_DMC,FR,0.8336
3,CMUR_to_DMC,DE,0.0
3,CMUR_to_DMC,EL,0.0
3,CMUR_to_DMC,HU,0.5917
3,CMUR_to_DMC,IE,0.3994
3,CMUR_to_DMC,IT,0.0055
3,CMUR_to_DMC,LV,0.9975
3,CMUR_to_DMC,LT,0.9267
3,CMUR_to_DMC,LU,0.2059
3,CMUR_to_DMC,MT,0.9715
3,CMUR_to_DMC,NL,0.0
3,CMUR_to_DMC,PL,0.3091
3,CMUR_to_DMC,PT,0.0919
3,CMUR_to_DMC,RO,0.0
3,CMUR_to_DMC,SK,0.0186
3,CMUR_to_DMC,SI,0.6645
3,CMUR_to_DMC,ES,0.8504
3,CMUR_to_DMC,SE,0.9263
3,DMC_to_RMC,AT,0.0008
3,DMC_to_RMC,BE,0.0
3,DMC_to_RMC,BG,0.0
3,DMC_to_RMC,HR,0.0
3,DMC_to_RMC,CY,0.0174
3,DMC_to_RMC,CZ,0.6126
3,DMC_to_RMC,DK,0.016
3,DMC_to_RMC,EE,0.1512
3,DMC_to_RMC,FI,0.0307
3,DMC_to_RMC,FR,0.0
3,DMC_to_RMC,DE,0.8159
3,DMC_to_RMC,EL,0.0
3,DMC_to_RMC,HU,0.0
3,DMC_to_RMC,IE,0.0107
3,DMC_to_RMC,IT,0.0055
3,DMC_to_RMC,LV,0.0002
3,DMC_to_RMC,LT,0.0
3,DMC_to_RMC,LU,0.7938
3,DMC_to_RMC,MT,0.4736
3,DMC_to_RMC,NL,0.2731
3,DMC_to_RMC,PL,0.1929
3,DMC_to_RMC,PT,0.0615
3,DMC_to_RMC,RO,0.0
3,DMC_to_RMC,SK,0.8608
3,DMC_to_RMC,SI,0.2288
3,DMC_to_RMC,ES,0.0593
3,DMC_to_RMC,SE,0.8089
3,TERR_to_CFOOT,AT,0.0
3,TERR_to_CFOOT,BE,0.0
3,TERR_to_CFOOT,BG,0.7617
3,TERR_to_CFOOT,HR,0.2859
3,TERR_to_CFOOT,CY,0.0275
3,TERR_to_CFOOT,CZ,0.0
3,TERR_to_CFOOT,DK,0.0
3,TERR_to_CFOOT,EE,0.0018
3,TERR_to_CFOOT,FI,0.0
3,TERR_to_CFOOT,FR,0.0
3,TERR_to_CFOOT,DE,0.0
3,TERR_to_CFOOT,EL,0.0
3,TERR_to_CFOOT,HU,0.6172
3,TERR_to_CFOOT,IE,0.818
3,TERR_to_CFOOT,IT,0.0
3,TERR_to_CFOOT,LV,0.563
3,TERR_to_CFOOT,LT,0.4486
3,TERR_to_CFOOT,LU,0.0
3,TERR_to_CFOOT,MT,0.0005
3,TERR_to_CFOOT,NL,0.0
3,TERR_to_CFOOT,PL,0.0494
3,TERR_to_CFOOT,PT,0.0002
3,TERR_to_CFOOT,RO,0.9956
3,TERR_to_CFOOT,SK,0.2089
3,TERR_to_CFOOT,SI,0.0003
3,TERR_to_CFOOT,ES,0.0
3,TERR_to_CFOOT,SE,0.0
