block_length,geo,representation,favorable_slope_bootstrap_frequency
2,AT,CMUR,1.0
2,AT,DMC,1.0
2,AT,RMC,0.9963
2,AT,TERR,1.0
2,AT,CFOOT,1.0
2,BE,CMUR,1.0
2,BE,DMC,1.0
2,BE,RMC,0.9998
2,BE,TERR,1.0
2,BE,CFOOT,1.0
2,BG,CMUR,1.0
2,BG,DMC,0.0
2,BG,RMC,0.0
2,BG,TERR,0.7757
2,BG,CFOOT,0.0627
2,HR,CMUR,1.0
2,HR,DMC,0.0
2,HR,RMC,0.0
2,HR,TERR,0.3076
2,HR,CFOOT,0.0269
2,CY,CMUR,1.0
2,CY,DMC,0.6891
2,CY,RMC,0.6992
2,CY,TERR,0.9979
2,CY,CFOOT,0.975
2,CZ,CMUR,1.0
2,CZ,DMC,0.8989
2,CZ,RMC,0.3228
2,CZ,TERR,1.0
2,CZ,CFOOT,1.0
2,DK,CMUR,0.9877
2,DK,DMC,0.0258
2,DK,RMC,0.001
2,DK,TERR,1.0
2,DK,CFOOT,1.0
2,EE,CMUR,0.9973
2,EE,DMC,0.4293
2,EE,RMC,0.3105
2,EE,TERR,1.0
2,EE,CFOOT,0.9994
2,FI,CMUR,0.0
2,FI,DMC,0.9636
2,FI,RMC,0.9952
2,FI,TERR,1.0
2,FI,CFOOT,1.0
2,FR,CMUR,0.1426
2,FR,DMC,1.0
2,FR,RMC,0.9996
2,FR,TERR,1.0
2,FR,CFOOT,1.0
2,DE,CMUR,1.0
2,DE,DMC,1.0
2,DE,RMC,0.2205
2,DE,TERR,1.0
2,DE,CFOOT,1.0
2,EL,CMUR,1.0
2,EL,DMC,1.0
2,EL,RMC,1.0
2,EL,TERR,1.0
2,EL,CFOOT,1.0
2,HU,CMUR,0.5748
2,HU,DMC,0.0
2,HU,RMC,0.0
2,HU,TERR,0.6815
2,HU,CFOOT,0.1015
2,IE,CMUR,0.4099
2,IE,DMC,0.0086
2,IE,RMC,0.0004
2,IE,TERR,1.0
2,IE,CFOOT,0.1654
2,IT,CMUR,1.0
2,IT,DMC,0.9969
2,IT,RMC,1.0
2,IT,TERR,1.0
2,IT,CFOOT,1.0
2,LV,CMUR,0.9992
2,LV,DMC,0.0
2,LV,RMC,0.0004
2,LV,TERR,0.3262
2,LV,CFOOT,0.6889
2,LT,CMUR,0.9419
2,LT,DMC,0.0
2,LT,RMC,0.0
2,LT,TERR,0.5581
2,LT,CFOOT,0.9974
2,LU,CMUR,0.0002
2,LU,DMC,0.2062
2,LU,RMC,1.0
2,LU,TERR,1.0
2,LU,CFOOT,1.0
2,MT,CMUR,1.0
2,MT,DMC,0.0213
2,MT,RMC,0.4663
2,MT,TERR,1.0
2,MT,CFOOT,0.9999
2,NL,CMUR,1.0
2,NL,DMC,1.0
2,NL,RMC,0.711
2,NL,TERR,1.0
2,NL,CFOOT,1.0
2,PL,CMUR,0.0
2,PL,DMC,0.3056
2,PL,RMC,0.4819
2,PL,TERR,0.9315
2,PL,CFOOT,0.9669
2,PT,CMUR,1.0
2,PT,DMC,0.9093
2,PT,RMC,0.8468
2,PT,TERR,0.9998
2,PT,CFOOT,1.0
2,RO,CMUR,0.0
2,RO,DMC,0.0
2,RO,RMC,0.0
2,RO,TERR,0.9997
2,RO,CFOOT,0.0051
2,SK,CMUR,1.0
2,SK,DMC,0.9791
2,SK,RMC,0.1192
2,SK,TERR,1.0
2,SK,CFOOT,0.7852
2,SI,CMUR,0.9893
2,SI,DMC,0.3225
2,SI,RMC,0.5421
2,SI,TERR,1.0
2,SI,CFOOT,0.9999
2,ES,CMUR,0.1999
2,ES,DMC,0.932
2,ES,RMC,0.874
2,ES,TERR,1.0
2,ES,CFOOT,1.0
2,SE,CMUR,0.9666
2,SE,DMC,0.0294
2,SE,RMC,0.8424
2,SE,TERR,1.0
2,SE,CFOOT,1.0
3,AT,CMUR,1.0
3,AT,DMC,1.0
3,AT,RMC,0.9992
3,AT,TERR,1.0
3,AT,CFOOT,1.0
3,BE,CMUR,1.0
3,BE,DMC,1.0
3,BE,RMC,1.0
3,BE,TERR,1.0
3,BE,CFOOT,1.0
3,BG,CMUR,1.0
3,BG,DMC,0.0
3,BG,RMC,0.0
3,BG,TERR,0.8109
3,BG,CFOOT,0.0662
3,HR,CMUR,1.0
3,HR,DMC,0.0
3,HR,RMC,0.0
3,HR,TERR,0.3274
3,HR,CFOOT,0.0415
3,CY,CMUR,1.0
3,CY,DMC,0.6893
3,CY,RMC,0.6993
3,CY,TERR,0.9979
3,CY,CFOOT,0.9704
3,CZ,CMUR,1.0
3,CZ,DMC,0.9234
3,CZ,RMC,0.3108
3,CZ,TERR,1.0
3,CZ,CFOOT,1.0
3,DK,CMUR,0.9917
3,DK,DMC,0.0165
3,DK,RMC,0.0005
3,DK,TERR,1.0
3,DK,CFOOT,1.0
3,EE,CMUR,0.9984
3,EE,DMC,0.4355
3,EE,RMC,0.3197
3,EE,TERR,1.0
3,EE,CFOOT,0.9982
3,FI,CMUR,0.0
3,FI,DMC,0.966
3,FI,RMC,0.9963
3,FI,TERR,1.0
3,FI,CFOOT,1.0
3,FR,CMUR,0.1664
3,FR,DMC,1.0
3,FR,RMC,1.0
3,FR,TERR,1.0
