geo,representation,primary_progress_score,point_sign,current_rank,loyo_preserve_sign_n,loyo_reverse_sign_n,loyo_min_slope,loyo_max_slope,sign_stable_all_14
AT,CMUR,0.46197802197802196,POSITIVE_FAVORABLE,7.0,14,0,0.4276243093922777,0.49614809274492794,True
AT,DMC,0.007097422628061973,POSITIVE_FAVORABLE,11.0,14,0,0.005005700052277155,0.008619648280658324,True
AT,RMC,0.008482036489129513,POSITIVE_FAVORABLE,8.0,14,0,0.006203383920676203,0.010901632832642534,True
AT,TERR,0.017199226731731323,POSITIVE_FAVORABLE,17.0,14,0,0.014460169438591965,0.018190744929077525,True
AT,CFOOT,0.013970808105932809,POSITIVE_FAVORABLE,14.0,14,0,0.012498684245764715,0.016450124566848696,True
BE,CMUR,0.5338461538461537,POSITIVE_FAVORABLE,6.0,14,0,0.4719780219780222,0.646724546172038,True
BE,DMC,0.009791138573222192,POSITIVE_FAVORABLE,6.0,14,0,0.007836352263477227,0.011420756600889455,True
BE,RMC,0.01779476480303852,POSITIVE_FAVORABLE,4.0,14,0,0.011039109887310546,0.021648313400760236,True
BE,TERR,0.021827852211564462,POSITIVE_FAVORABLE,11.0,14,0,0.019697104434969557,0.02265183133017621,True
BE,CFOOT,0.020355282913145718,POSITIVE_FAVORABLE,8.0,14,0,0.01929663548695591,0.021532261987561602,True
BG,CMUR,0.21692307692307694,POSITIVE_FAVORABLE,13.0,14,0,0.18618090452260316,0.2620757695343292,True
BG,DMC,-0.02838778476378616,NONPOSITIVE_NONFAVORABLE,23.0,14,0,-0.03104786256755414,-0.026688656260570393,True
BG,RMC,-0.04163009282047235,NONPOSITIVE_NONFAVORABLE,25.0,14,0,-0.04563204073140204,-0.03955564662835146,True
BG,TERR,0.003256955452647446,POSITIVE_FAVORABLE,23.0,13,1,-0.0015663087041481883,0.006867320421836091,False
BG,CFOOT,-0.007095706980591583,NONPOSITIVE_NONFAVORABLE,24.0,14,0,-0.00940691034854612,-0.0020283862841533064,True
HR,CMUR,0.32131868131868124,POSITIVE_FAVORABLE,10.0,14,0,0.28351648351648356,0.3467032967032967,True
HR,DMC,-0.016979127565245663,NONPOSITIVE_NONFAVORABLE,21.0,14,0,-0.020493859759108227,-0.014674696528859249,True
HR,RMC,-0.014983230303764762,NONPOSITIVE_NONFAVORABLE,21.0,14,0,-0.01670456193351647,-0.01350128463741607,True
HR,TERR,-0.0016257853532977429,NONPOSITIVE_NONFAVORABLE,27.0,13,1,-0.0041389608768721935,0.0001921500154744449,False
HR,CFOOT,-0.011419157556648532,NONPOSITIVE_NONFAVORABLE,26.0,14,0,-0.016411351125432076,-0.007954521759549327,True
CY,CMUR,0.36219780219780223,POSITIVE_FAVORABLE,9.0,14,0,0.2725335438042586,0.40054945054945057,True
CY,DMC,0.008994708226666601,POSITIVE_FAVORABLE,7.0,12,2,-0.004968036760112808,0.014306230182590423,False
CY,RMC,0.009800759612685613,POSITIVE_FAVORABLE,6.0,13,1,-0.005537469167445104,0.015566978185892472,False
CY,TERR,0.009945842711918132,POSITIVE_FAVORABLE,20.0,14,0,0.006995397346344495,0.011795191781096817,True
CY,CFOOT,0.013784432690238315,POSITIVE_FAVORABLE,15.0,14,0,0.006545253812349403,0.01621306089923873,True
CZ,CMUR,0.6156043956043957,POSITIVE_FAVORABLE,3.0,14,0,0.5829670329670329,0.641002367797938,True
CZ,DMC,0.0037621111515538856,POSITIVE_FAVORABLE,13.0,14,0,0.0004999799444599543,0.004994025257212276,True
CZ,RMC,-0.001964523688753296,NONPOSITIVE_NONFAVORABLE,17.0,13,1,-0.0063294795041976566,0.0002002799241603468,False
CZ,TERR,0.01954572533650481,POSITIVE_FAVORABLE,15.0,14,0,0.0161816489651175,0.02054040055557071,True
CZ,CFOOT,0.01270818929067596,POSITIVE_FAVORABLE,17.0,14,0,0.01084616133852048,0.014873361238446415,True
DK,CMUR,0.10725274725274722,POSITIVE_FAVORABLE,17.0,14,0,0.08092744951385482,0.1340659340659339,True
DK,DMC,-0.006219357714132084,NONPOSITIVE_NONFAVORABLE,19.0,14,0,-0.010438158772719034,-0.003980822286147826,True
DK,RMC,-0.014468595974970036,NONPOSITIVE_NONFAVORABLE,20.0,14,0,-0.018878069450528976,-0.00916630610649278,True
DK,TERR,0.03879163332152253,POSITIVE_FAVORABLE,5.0,14,0,0.03708034148576953,0.03993861786618816,True
DK,CFOOT,0.01957718138190298,POSITIVE_FAVORABLE,10.0,14,0,0.017090900805207893,0.02093819475310322,True
EE,CMUR,0.6035164835164833,POSITIVE_FAVORABLE,4.0,14,0,0.5020915548539687,0.763089005235635,True
EE,DMC,-0.0010253949316058363,NONPOSITIVE_NONFAVORABLE,14.0,12,2,-0.005916689102958401,0.0029220617673663095,False
EE,RMC,-0.0033610115355585304,NONPOSITIVE_NONFAVORABLE,18.0,13,1,-0.009404512617401979,0.00026179172037973534,False
EE,TERR,0.052530181472398234,POSITIVE_FAVORABLE,2.0,14,0,0.04705136432658405,0.05776476711806321,True
EE,CFOOT,0.02347143808612213,POSITIVE_FAVORABLE,6.0,14,0,0.01687775621138912,0.027278980191971957,True
FI,CMUR,-0.538021978021978,NONPOSITIVE_NONFAVORABLE,26.0,14,0,-0.6101420678768819,-0.46514584891546945,True
FI,DMC,0.00686074497620672,POSITIVE_FAVORABLE,12.0,14,0,0.005352440519591059,0.00985466587270061,True
FI,RMC,0.009345462115101686,POSITIVE_FAVORABLE,7.0,14,0,0.006394637642243371,0.012594704680485066,True
FI,TERR,0.04033429677525245,POSITIVE_FAVORABLE,4.0,14,0,0.03763739098321268,0.04158625226121866,True
FI,CFOOT,0.032098163868715224,POSITIVE_FAVORABLE,3.0,14,0,0.028736001306596346,0.033043599321222056,True
FR,CMUR,-0.11714285714285731,NONPOSITIVE_NONFAVORABLE,23.0,14,0,-0.1477900552485985,-0.07857142857146768,True
FR,DMC,0.007869524443668296,POSITIVE_FAVORABLE,8.0,14,0,0.006969355257001963,0.009169024632833332,True
FR,RMC,0.00778761580310427,POSITIVE_FAVORABLE,9.0,14,0,0.0057518589824786005,0.009111738234008862,True
FR,TERR,0.024160552180304135,POSITIVE_FAVORABLE,10.0,14,0,0.022511248958731783,0.024970858525541265,True
FR,CFOOT,0.021069062886092883,POSITIVE_FAVORABLE,7.0,14,0,0.01995346843882122,0.02230166855317614,True
DE,CMUR,0.21274725274725304,POSITIVE_FAVORABLE,14.0,14,0,0.16758241758241746,0.2373626373626372,True
DE,DMC,0.015034131305450097,POSITIVE_FAVORABLE,4.0,14,0,0.011629276718174484,0.018304693318322397,True
DE,RMC,-0.0019495145033433968,NONPOSITIVE_NONFAVORABLE,16.0,14,0,-0.003906493190090559,-7.075193059954358e-05,True
DE,TERR,0.026142977049978967,POSITIVE_FAVORABLE,9.0,14,0,0.023366494283638482,0.028520194538738573,True
DE,CFOOT,0.019937922640967675,POSITIVE_FAVORABLE,9.0,14,0,0.018391656841222525,0.021330005235486903,True
EL,CMUR,0.3206593406593406,POSITIVE_FAVORABLE,11.0,14,0,0.27636148382004405,0.3785714285714286,True
EL,DMC,0.03465467912839716,POSITIVE_FAVORABLE,1.0,14,0,0.03204226926831497,0.03705007912715875,True
