deletion_type,deletion_id,n_countries,n_years,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,cell_metric,full_grid_range_metric,selected_endpoint_metric,full_grid_minimum,full_grid_minimum_cell_key,full_grid_minimum_cell_label,full_grid_maximum,full_grid_maximum_cell_key,full_grid_maximum_cell_label,full_grid_range,selected_endpoint_cell_difference,dmc_minus_cmur_territorial,dmc_minus_cmur_consumption,rmc_minus_dmc_territorial,rmc_minus_dmc_consumption,rmc_minus_cmur_territorial,rmc_minus_cmur_consumption,consumption_minus_territorial_cmur,consumption_minus_territorial_dmc,consumption_minus_territorial_rmc
FULL,FULL_2010_2023,27,14,0.09218559218559218,0.4065934065934066,0.5366300366300365,0.08424908424908426,0.47191697191697196,0.688034188034188,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.08424908424908426,d_CMUR_CFOOT,CMUR × consumption,0.688034188034188,f_RMC_CFOOT,RMC × consumption,0.6037851037851037,0.5958485958485958,0.3144078144078144,0.38766788766788773,0.1300366300366299,0.21611721611721607,0.4444444444444443,0.6037851037851037,-0.007936507936507922,0.06532356532356537,0.15140415140415153
LOCO,AT,26,14,0.09333333333333332,0.41538461538461535,0.5528205128205128,0.07555555555555556,0.481025641025641,0.7066666666666667,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.07555555555555556,d_CMUR_CFOOT,CMUR × consumption,0.7066666666666667,f_RMC_CFOOT,RMC × consumption,0.6311111111111111,0.6133333333333333,0.32205128205128203,0.40547008547008545,0.13743589743589746,0.22564102564102567,0.4594871794871795,0.6311111111111111,-0.017777777777777767,0.06564102564102564,0.15384615384615385
LOCO,BE,26,14,0.07418803418803417,0.40717948717948715,0.5452991452991452,0.05846153846153846,0.4755555555555555,0.6868376068376068,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.05846153846153846,d_CMUR_CFOOT,CMUR × consumption,0.6868376068376068,f_RMC_CFOOT,RMC × consumption,0.6283760683760683,0.6126495726495725,0.332991452991453,0.41709401709401706,0.1381196581196581,0.21128205128205124,0.4711111111111111,0.6283760683760683,-0.01572649572649571,0.06837606837606836,0.1415384615384615
LOCO,BG,26,14,0.10769230769230768,0.3429059829059829,0.49196581196581196,0.09128205128205127,0.4215384615384615,0.6574358974358974,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09128205128205127,d_CMUR_CFOOT,CMUR × consumption,0.6574358974358974,f_RMC_CFOOT,RMC × consumption,0.5661538461538461,0.5497435897435897,0.2352136752136752,0.33025641025641017,0.14905982905982906,0.2358974358974359,0.38427350427350426,0.5661538461538461,-0.01641025641025641,0.07863247863247858,0.1654700854700854
LOCO,HR,26,14,0.12957264957264958,0.3641025641025641,0.4974358974358974,0.11316239316239315,0.43384615384615377,0.6622222222222223,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.11316239316239315,d_CMUR_CFOOT,CMUR × consumption,0.6622222222222223,f_RMC_CFOOT,RMC × consumption,0.5490598290598291,0.5326495726495727,0.2345299145299145,0.3206837606837606,0.1333333333333333,0.2283760683760685,0.3678632478632478,0.5490598290598291,-0.016410256410256424,0.06974358974358968,0.16478632478632488
LOCO,CY,26,14,0.09333333333333332,0.4297435897435897,0.5801709401709401,0.07350427350427349,0.4823931623931623,0.7141880341880341,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.07350427350427349,d_CMUR_CFOOT,CMUR × consumption,0.7141880341880341,f_RMC_CFOOT,RMC × consumption,0.6406837606837607,0.6208547008547007,0.3364102564102564,0.40888888888888886,0.15042735042735034,0.2317948717948718,0.48683760683760674,0.6406837606837607,-0.01982905982905983,0.052649572649572596,0.13401709401709405
LOCO,CZ,26,14,0.09606837606837607,0.40854700854700854,0.5268376068376068,0.09675213675213674,0.46529914529914523,0.6717948717948717,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09606837606837607,a_CMUR_TERR,CMUR × territorial,0.6717948717948717,f_RMC_CFOOT,RMC × consumption,0.5757264957264957,0.5757264957264957,0.3124786324786325,0.3685470085470085,0.11829059829059829,0.2064957264957265,0.4307692307692308,0.575042735042735,0.0006837606837606786,0.056752136752136695,0.1449572649572649
LOCO,DK,26,14,0.1152136752136752,0.4591452991452991,0.587008547008547,0.09538461538461539,0.4892307692307692,0.7162393162393161,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09538461538461539,d_CMUR_CFOOT,CMUR × consumption,0.7162393162393161,f_RMC_CFOOT,RMC × consumption,0.6208547008547007,0.6010256410256409,0.3439316239316239,0.3938461538461538,0.12786324786324788,0.22700854700854695,0.4717948717948718,0.6208547008547007,-0.019829059829059817,0.03008547008547008,0.12923076923076915
LOCO,EE,26,14,0.0003418803418803419,0.442051282051282,0.5965811965811965,0.037264957264957266,0.5035897435897435,0.7258119658119657,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.0003418803418803419,a_CMUR_TERR,CMUR × territorial,0.7258119658119657,f_RMC_CFOOT,RMC × consumption,0.7254700854700854,0.7254700854700854,0.4417094017094017,0.46632478632478624,0.15452991452991444,0.2222222222222222,0.5962393162393161,0.6885470085470085,0.036923076923076927,0.061538461538461486,0.12923076923076926
LOCO,FI,26,14,0.18974358974358974,0.4365811965811965,0.532991452991453,0.20615384615384613,0.4974358974358974,0.6861538461538461,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.18974358974358974,a_CMUR_TERR,CMUR × territorial,0.6861538461538461,f_RMC_CFOOT,RMC × consumption,0.4964102564102564,0.4964102564102564,0.24683760683760675,0.29128205128205126,0.09641025641025652,0.18871794871794872,0.34324786324786327,0.48,0.016410256410256396,0.060854700854700905,0.1531623931623931
