comparison,comparison_key,geo,first_representation,second_representation,first_point_sign,second_point_sign,first_loyo_preserve_sign_n,second_loyo_preserve_sign_n,first_sign_stable_all_14,second_sign_stable_all_14,both_signs_stable_all_14
CMUR → DMC,CMUR_to_DMC,BG,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,HR,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,DK,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,EE,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,12,True,False,False
CMUR → DMC,CMUR_to_DMC,FI,CMUR,DMC,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,FR,CMUR,DMC,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,HU,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,11,14,False,True,False
CMUR → DMC,CMUR_to_DMC,LV,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,LT,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,MT,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,SI,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,ES,CMUR,DMC,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,14,True,True,True
CMUR → DMC,CMUR_to_DMC,SE,CMUR,DMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
DMC → RMC,DMC_to_RMC,CZ,DMC,RMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,13,True,False,False
DMC → RMC,DMC_to_RMC,DE,DMC,RMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
DMC → RMC,DMC_to_RMC,LU,DMC,RMC,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,14,True,True,True
DMC → RMC,DMC_to_RMC,SK,DMC,RMC,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
DMC → RMC,DMC_to_RMC,SI,DMC,RMC,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,11,True,False,False
DMC → RMC,DMC_to_RMC,SE,DMC,RMC,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,13,True,False,False
Territorial → consumption-based GHG,TERR_to_CFOOT,BG,TERR,CFOOT,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,13,14,False,True,False
Territorial → consumption-based GHG,TERR_to_CFOOT,HU,TERR,CFOOT,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,13,14,False,True,False
Territorial → consumption-based GHG,TERR_to_CFOOT,IE,TERR,CFOOT,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
Territorial → consumption-based GHG,TERR_to_CFOOT,LV,TERR,CFOOT,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE,14,12,True,False,False
Territorial → consumption-based GHG,TERR_to_CFOOT,RO,TERR,CFOOT,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,14,14,True,True,True
