source,status_column,status_code,official_status_label,count,total_country_year_observations,countries_affected,years_affected,official_code_list_source,official_evidence_locator
CMUR,cmur_status,BLANK,no observation-status flag,377,378,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
CMUR,cmur_status,b,break in time series,1,378,EL,2021,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
DMC,dmc_total_status,BLANK,no observation-status flag,356,378,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
DMC,dmc_total_status,e,estimated,12,378,BG;EL;NL,2010;2011;2012;2013;2015;2016;2017;2019;2021;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
DMC,dmc_total_status,i,value imputed by Eurostat or other receiving agencies,10,378,RO,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
RMC,rmc_total_status,BLANK,no observation-status flag,206,378,AT;BE;CY;CZ;DE;DK;EE;FR;HR;LT;LU;MT;PT;RO;SI,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
RMC,rmc_total_status,i,value imputed by Eurostat or other receiving agencies,172,378,BE;BG;EE;EL;ES;FI;HU;IE;IT;LV;NL;PL;SE;SK,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
territorial_GHG,terr_total_status,BLANK,no observation-status flag,378,378,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
consumption_GHG,cfoot_total_status,BLANK,no observation-status flag,378,378,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
population_denominator,population_status,BLANK,no observation-status flag,348,378,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
population_denominator,population_status,b,break in time series,15,378,BE;CZ;DE;FR;HU;LU;LV;PL;PT,2010;2011;2012;2014;2017;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
population_denominator,population_status,be,break in time series; estimated,2,378,PL;RO,2013;2020,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
population_denominator,population_status,e,estimated,12,378,PL;RO,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
population_denominator,population_status,p,provisional,1,378,FR,2023,https://ec.europa.eu/eurostat/data/database?node_code=aact_eaa01,Database page → Flags → Observation status (Obs_status)
