comparison,comparison_key,geo,ols_point_sign_disagreement,theil_sen_disagreement_persists,theil_sen_first_sign,theil_sen_second_sign
CMUR → DMC,CMUR_to_DMC,BG,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,DK,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,EE,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,ES,True,True,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE
CMUR → DMC,CMUR_to_DMC,FI,True,True,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE
CMUR → DMC,CMUR_to_DMC,FR,True,True,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE
CMUR → DMC,CMUR_to_DMC,HR,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,HU,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,LT,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,LV,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,MT,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,SE,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
CMUR → DMC,CMUR_to_DMC,SI,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
DMC → RMC,DMC_to_RMC,CZ,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
DMC → RMC,DMC_to_RMC,DE,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
DMC → RMC,DMC_to_RMC,LU,True,True,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE
DMC → RMC,DMC_to_RMC,SE,True,True,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE
DMC → RMC,DMC_to_RMC,SI,True,False,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE
DMC → RMC,DMC_to_RMC,SK,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
Territorial → consumption-based GHG,TERR_to_CFOOT,BG,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
Territorial → consumption-based GHG,TERR_to_CFOOT,HU,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
Territorial → consumption-based GHG,TERR_to_CFOOT,IE,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
Territorial → consumption-based GHG,TERR_to_CFOOT,LV,True,True,NONPOSITIVE_NONFAVORABLE,POSITIVE_FAVORABLE
Territorial → consumption-based GHG,TERR_to_CFOOT,RO,True,True,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE
