geo,representation,n_years,k_parameters,df_resid,slope,conventional_se,conventional_interval_low,conventional_interval_high,conventional_excludes_zero,hc3_se,hc3_interval_low,hc3_interval_high,hc3_excludes_zero,hac_lag1_se,hac_lag1_interval_low,hac_lag1_interval_high,hac_lag1_excludes_zero,hac_lag2_se,hac_lag2_interval_low,hac_lag2_interval_high,hac_lag2_excludes_zero,in_any_point_slope_sign_disagreement,implementation
AT,CMUR,14,2,12.0,0.46197802197802174,0.06732644576897899,0.31528629816067544,0.608669745795368,True,0.07163654341991384,0.30589540210169996,0.6180606418543435,True,0.07545144266317666,0.29758345068659114,0.6263725932694524,True,0.07901835323459833,0.28981182017130197,0.6341442237847414,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
AT,DMC,14,2,12.0,0.007097422628061983,0.002174877262663797,0.0023587721452185597,0.011836073110905407,True,0.0031342806611629036,0.0002684117117423661,0.0139264335443816,True,0.00264391860429178,0.0013368188524351806,0.012858026403688785,True,0.002312306695992701,0.0020593391327076464,0.01213550612341632,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
AT,RMC,14,2,12.0,0.008482036489129596,0.0032278172167531046,0.0014492269254471665,0.015514846052812026,True,0.004503995627917397,-0.0013313269697419333,0.018295399948001126,False,0.003636354414887507,0.0005591008367556282,0.016404972141503563,True,0.0028826759123828077,0.002201225227457252,0.01476284775080194,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
AT,TERR,14,2,12.0,0.017199226731731368,0.0023754787671049524,0.012023503117361008,0.022374950346101728,True,0.0031339800320608177,0.010370870829956347,0.02402758263350639,True,0.0026660289319909787,0.011390448690445405,0.02300800477301733,True,0.002528903747620851,0.011689218801421524,0.022709234662041212,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
AT,CFOOT,14,2,12.0,0.013970808105932903,0.0028638129107387677,0.007731095794248626,0.02021052041761718,True,0.0036391390305307992,0.006041805297269637,0.02189981091459617,True,0.0030424178831374555,0.007341948988944004,0.0205996672229218,True,0.0025882206645751527,0.008331559715946719,0.019610056495919084,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BE,CMUR,14,2,12.0,0.5338461538461535,0.10132448157060392,0.31307907344074104,0.754613234251566,True,0.1448239263243391,0.21830192512790203,0.849390382564405,True,0.13164923756957575,0.247007106013653,0.8206852016786541,True,0.12122179145419021,0.2697265593905187,0.7979657483017883,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BE,DMC,14,2,12.0,0.009791138573222141,0.0025242314457283705,0.004291310714219712,0.015290966432224572,True,0.0034808008680906936,0.0022071249843093124,0.01737515216213497,True,0.0030368827128427578,0.003174339556285723,0.01640793759015856,True,0.0026382756472167093,0.004042829744867764,0.015539447401576518,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BE,RMC,14,2,12.0,0.017794764803038488,0.005458490793941748,0.00590173503057775,0.029687794575499225,True,0.00847082831870596,-0.0006615846156665384,0.03625111422174351,False,0.006983000342923468,0.0025801140663061807,0.0330094155397708,True,0.00649380476050587,0.003645979677494174,0.0319435499285828,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BE,TERR,14,2,12.0,0.021827852211564483,0.002491398209215119,0.016399561829516622,0.027256142593612344,True,0.003312675397847503,0.014610152554211353,0.029045551868917614,True,0.0028369206088757633,0.015646733192198604,0.028008971230930362,True,0.002730325508425872,0.015878983964638493,0.027776720458490473,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BE,CFOOT,14,2,12.0,0.020355282913145756,0.002179990670569953,0.015605491271553078,0.025105074554738434,True,0.002193211169607353,0.015576686278635787,0.025133879547655724,True,0.0017343146788304394,0.016576535840229795,0.024134029986061716,True,0.0012892530504997187,0.017546241826029357,0.023164324000262155,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BG,CMUR,14,2,12.0,0.21692307692307686,0.05574711302872387,0.09546055183918419,0.33838560200696954,True,0.058582514158009365,0.089282743481444,0.3445634103647097,True,0.0504200352160963,0.10706725732197277,0.32677889652418096,True,0.03930501561451623,0.13128480463189815,0.3025613492142556,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BG,DMC,14,2,12.0,-0.02838778476378606,0.0034659486815625563,-0.03593943821814277,-0.020836131309429348,True,0.00415309546471667,-0.037436602445143526,-0.019338967082428597,True,0.0029382280838150324,-0.03478963380929081,-0.02198593571828131,True,0.002087577739774957,-0.03293622592613545,-0.02383934360143667,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BG,RMC,14,2,12.0,-0.04163009282047238,0.004644757690830601,-0.05175015046794962,-0.03151003517299514,True,0.00520062653443016,-0.05296128463599663,-0.03029890100494813,True,0.0049470123645776725,-0.05240870682893663,-0.030851478812008132,True,0.004727836027664865,-0.05193116261411153,-0.03132902302683323,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BG,TERR,14,2,12.0,0.003256955452647481,0.0047676566280426234,-0.007130875975979785,0.013644786881274747,False,0.006910410786699343,-0.011799536227683854,0.018313447132978816,False,0.004598240344080337,-0.006761749602928208,0.01327566050822317,False,0.00319769350620966,-0.003710220184025709,0.01022413108932067,False,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
BG,CFOOT,14,2,12.0,-0.007095706980591532,0.004654938376074533,-0.017237946435693055,0.003046532474509993,False,0.006472980391569105,-0.021199119703926697,0.0070077057427436334,False,0.005861066564441455,-0.0198658740067302,0.0056744600455471365,False,0.0054571696285925075,-0.018985858181039234,0.004794444219856168,False,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
HR,CMUR,14,2,12.0,0.32131868131868124,0.03434460050644334,0.24648822510544688,0.3961491375319156,True,0.0517363604079378,0.20859483550157873,0.43404252713578373,True,0.04570318806709808,0.22173998880139376,0.4208973738359687,True,0.04516319562038273,0.22291653127222055,0.41972083136514193,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
HR,DMC,14,2,12.0,-0.016979127565245583,0.0035323703543502826,-0.024675501412440154,-0.009282753718051012,True,0.0050217470371957265,-0.027920574437231026,-0.006037680693260142,True,0.0048640696107185724,-0.02757702483747369,-0.0063812302930174765,True,0.005047620370107955,-0.02797694758692644,-0.005981307543564728,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
HR,RMC,14,2,12.0,-0.014983230303764722,0.0034601457770569465,-0.022522240315335278,-0.007444220292194165,True,0.0034478727927713814,-0.022495499779715586,-0.007470960827813859,True,0.003361832907738893,-0.022308034974343707,-0.007658425633185737,True,0.003452963213762736,-0.022506590854279956,-0.007459869753249488,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
HR,TERR,14,2,12.0,-0.0016257853532977151,0.002749152316299625,-0.007615673690760716,0.004364102984165286,False,0.003833296331582292,-0.009977820580465535,0.006726249873870105,False,0.0038211471422019416,-0.009951349770773572,0.006699779064178141,False,0.0039252763152323135,-0.010178227748914784,0.006926657042319354,False,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
