geo,CMUR,DMC,RMC,TERR,CFOOT,rank_CMUR,favourable_CMUR,rank_DMC,favourable_DMC,rank_RMC,favourable_RMC,rank_TERR,favourable_TERR,rank_CFOOT,favourable_CFOOT,rank_shift_CMUR_to_DMC,rank_shift_DMC_to_RMC,rank_shift_TERR_to_CFOOT,sign_flip_CMUR_DMC,sign_flip_DMC_RMC,sign_flip_TERR_CFOOT
AT,0.46197802197801874,0.007097422628061817,0.008482036489129338,0.017199226731731142,0.013970808105932781,7.0,True,11.0,True,8.0,True,17.0,True,14.0,True,4.0,-3.0,-3.0,False,False,False
BE,0.5338461538461536,0.009791138573222145,0.01779476480303815,0.02182785221156428,0.02035528291314555,6.0,True,6.0,True,4.0,True,11.0,True,8.0,True,0.0,-2.0,-3.0,False,False,False
BG,0.21692307692307616,-0.0283877847637859,-0.041630092820472,0.003256955452647425,-0.0070957069805913575,13.0,True,23.0,False,25.0,False,23.0,True,24.0,False,10.0,2.0,1.0,True,False,True
CY,0.36219780219779746,0.00899470822666715,0.009800759612686285,0.009945842711918151,0.01378443269023849,9.0,True,7.0,True,6.0,True,20.0,True,15.0,True,-2.0,-1.0,-5.0,False,False,False
CZ,0.6156043956043893,0.003762111151553908,-0.001964523688753195,0.01954572533650457,0.012708189290676014,3.0,True,13.0,True,17.0,False,15.0,True,17.0,True,10.0,4.0,2.0,False,True,False
DE,0.21274725274724973,0.015034131305449708,-0.0019495145033434386,0.026142977049978644,0.019937922640967436,14.0,True,4.0,True,16.0,False,9.0,True,9.0,True,-10.0,12.0,0.0,False,True,False
DK,0.10725274725274421,-0.006219357714132252,-0.014468595974970036,0.03879163332152221,0.019577181381902786,17.0,True,19.0,False,20.0,False,5.0,True,10.0,True,2.0,1.0,5.0,True,False,False
EE,0.603516483516483,-0.001025394931605949,-0.0033610115355586796,0.052530181472397616,0.023471438086121718,4.0,True,14.0,False,18.0,False,2.0,True,6.0,True,10.0,4.0,4.0,True,False,False
EL,0.3206593406593357,0.034654679128397016,0.03272631622576255,0.032822931306744206,0.028654475040789728,11.0,True,1.0,True,1.0,True,7.0,True,4.0,True,-10.0,0.0,-3.0,False,False,False
ES,-0.05252747252747259,0.01214924095673572,0.009987398845510774,0.021724565554501665,0.012969422003911591,22.0,False,5.0,True,5.0,True,12.0,True,16.0,True,-17.0,0.0,4.0,True,False,False
FI,-0.5380219780219733,0.006860744976206743,0.009345462115101549,0.04033429677525207,0.032098163868715016,26.0,False,12.0,True,7.0,True,4.0,True,3.0,True,-14.0,-5.0,-1.0,True,False,False
FR,-0.11714285714285537,0.007869524443668204,0.007787615803104178,0.02416055218030393,0.021069062886092733,23.0,False,8.0,True,9.0,True,10.0,True,7.0,True,-15.0,1.0,-3.0,True,False,False
HR,0.32131868131868024,-0.01697912756524536,-0.014983230303764552,-0.0016257853532976195,-0.011419157556648204,10.0,True,21.0,False,21.0,False,27.0,False,26.0,False,11.0,0.0,-1.0,True,False,False
HU,0.009450549450550178,-0.03523712768131087,-0.04918988512444411,0.0019828200240636687,-0.005111004790200879,20.0,True,25.0,False,26.0,False,24.0,True,23.0,False,5.0,1.0,-1.0,True,False,True
IE,-0.0021978021978023283,-0.009075523420293795,-0.01949396419488649,0.01371766319713161,-0.009143064281672716,21.0,False,20.0,False,22.0,False,19.0,True,25.0,False,-1.0,2.0,6.0,False,False,True
IT,0.7171428571428538,0.02003686369231924,0.02093966759428749,0.020146935299358265,0.017881971303197436,2.0,True,3.0,True,3.0,True,14.0,True,12.0,True,1.0,0.0,-2.0,False,False,False
LT,0.03824175824175798,-0.04005448658649732,-0.03206167335134362,0.0004127644641793589,0.01081882926212872,19.0,True,26.0,False,24.0,False,25.0,True,19.0,True,7.0,-2.0,-6.0,True,False,False
LU,-0.8375824175824199,-0.0030602521826157444,0.027145523207688572,0.050093726601678795,0.035380830483410376,27.0,False,17.0,False,2.0,True,3.0,True,2.0,True,-10.0,-15.0,-1.0,False,True,False
LV,0.2523076923076921,-0.03295908842362544,-0.024272626724510603,-0.001000725166579304,0.0012409120117897348,12.0,True,24.0,False,23.0,False,26.0,False,22.0,True,12.0,-1.0,-4.0,True,False,True
MT,1.3257142857142679,-0.023877374640156778,-0.0003570843477145931,0.054187613383168014,0.028366751892984626,1.0,True,22.0,False,15.0,False,1.0,True,5.0,True,21.0,-7.0,4.0,True,False,False
NL,0.45054945054944767,0.026007410310468566,0.003597229465914424,0.030139933368492296,0.018822978045313746,8.0,True,2.0,True,11.0,True,8.0,True,11.0,True,-6.0,9.0,3.0,False,False,False
PL,-0.36395604395603964,-0.0019196544057532377,-0.00016009954325885888,0.0034588260030328478,0.005212576076533233,25.0,False,15.0,False,14.0,False,22.0,True,20.0,True,-10.0,-1.0,-2.0,False,False,False
PT,0.08813186813186737,0.007385208823302788,0.006092576466455337,0.01762681491703847,0.015139292261103967,18.0,True,10.0,True,10.0,True,16.0,True,13.0,True,-8.0,0.0,-3.0,False,False,False
RO,-0.12659340659340632,-0.05230471571031686,-0.05340112362272547,0.006613004340756272,-0.012304001231243063,24.0,False,27.0,False,27.0,False,21.0,True,27.0,False,3.0,0.0,6.0,False,False,True
SE,0.2116483516483485,-0.005676395673856235,0.003388192634036226,0.034294721825684965,0.035812901260521536,15.0,True,18.0,False,12.0,True,6.0,True,1.0,True,3.0,-6.0,-5.0,True,True,False
SI,0.1591208791208812,-0.002727495779910215,0.0005081196830302513,0.0211437657061086,0.01246590442187579,16.0,True,16.0,False,13.0,True,13.0,True,18.0,True,0.0,-3.0,5.0,True,True,False
SK,0.5760439560439484,0.00783179907079106,-0.0069949148822003974,0.015571420247718662,0.003056835112745005,5.0,True,9.0,True,19.0,False,18.0,True,21.0,True,4.0,10.0,3.0,False,True,False
