source_id,dataset,indicator_or_measure,unit,role,raw_file,api_query,rows,countries,years,provenance_note
cmur_pct_env_ac_cur,env_ac_cur,CMUR analysis series,Percentage,CMUR analysis series,cmur_env_ac_cur.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_cur?lang=EN&freq=A&unit=PC&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
cmur_sdg_comparator_sdg_12_41,sdg_12_41,CMUR published comparator,Percentage,CMUR published comparator,cmur_sdg_12_41.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sdg_12_41?lang=EN&freq=A&unit=PC&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
dmc_total_thousand_t_env_ac_mfa,env_ac_mfa,DMC total used for common-denominator per-capita series,Thousand tonnes,DMC total used for common-denominator per-capita series,dmc_total_env_ac_mfa.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_mfa?lang=EN&freq=A&indic_env=DMC&material=TOTAL&unit=THS_T&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
dmc_published_pc_env_ac_mfa,env_ac_mfa,DMC published per-capita comparator,Tonnes per capita,DMC published per-capita comparator,dmc_per_capita_env_ac_mfa.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_mfa?lang=EN&freq=A&indic_env=DMC&material=TOTAL&unit=T_HAB&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
rmc_total_thousand_t_env_ac_rme,env_ac_rme,RMC total used for common-denominator per-capita series,Thousand tonnes,RMC total used for common-denominator per-capita series,rmc_total_env_ac_rme.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_rme?lang=EN&freq=A&indic_env=RMC&material=TOTAL&unit=THS_T&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
rmc_published_pc_env_ac_rme,env_ac_rme,RMC published per-capita comparator,Tonnes per capita,RMC published per-capita comparator,rmc_per_capita_env_ac_rme.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/env_ac_rme?lang=EN&freq=A&indic_env=RMC&material=TOTAL&unit=T_HAB&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
territorial_ghg_total_sdg_13_10,sdg_13_10,Territorial GHG total used for common-denominator per-capita series,Million tonnes of CO2 equivalent,Territorial GHG total used for common-denominator per-capita series,territorial_ghg_total_sdg_13_10.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sdg_13_10?lang=EN&freq=A&unit=MTCO2E&src_crf=TOTX4_MEMO&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
territorial_ghg_published_pc_sdg_13_10,sdg_13_10,Territorial GHG published per-capita comparator,Tonnes per capita,Territorial GHG published per-capita comparator,territorial_ghg_per_capita_sdg_13_10.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sdg_13_10?lang=EN&freq=A&unit=T_HAB&src_crf=TOTX4_MEMO&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
average_population_demo_gind,demo_gind,Common annual population denominator,Persons (average population),Common annual population denominator,average_population_demo_gind.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_gind?lang=EN&freq=A&indic_de=AVG&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
consumption_ghg_total_cli_gge_foot,cli_gge_foot,Consumption GHG footprint total used for common-denominator per-capita series,Thousand tonnes,Consumption GHG footprint total used for common-denominator per-capita series,consumption_ghg_total_cli_gge_foot.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cli_gge_foot?lang=EN&freq=A&indic_env=AEMIS_CONS_FP&unit=THS_T&airpol=GHG&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
consumption_ghg_published_pc_cli_gge_foot,cli_gge_foot,Consumption GHG footprint published per-capita comparator,Kilograms per capita,Consumption GHG footprint published per-capita comparator,consumption_ghg_per_capita_cli_gge_foot.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cli_gge_foot?lang=EN&freq=A&indic_env=AEMIS_CONS_FP&unit=KG_HAB&airpol=GHG&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
production_ghg_total_cli_gge_foot,cli_gge_foot,Production/residence GHG diagnostic series,Thousand tonnes,Production/residence GHG diagnostic series,production_ghg_total_cli_gge_foot.json.gz,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cli_gge_foot?lang=EN&freq=A&indic_env=AEMIS_PRD&unit=THS_T&airpol=GHG&geoLevel=country&sinceTimePeriod=2010&untilTimePeriod=2023,378,27,14,Frozen Eurostat response in data/raw; exact query and resolved selectors recorded in data/sources.csv
