period,material_representation,climate_perspective,spearman_rho,period_label
FULL_2010_2023,CMUR,Territorial GHG,0.0921855921855921,2010–2023
FULL_2010_2023,DMC,Territorial GHG,0.4065934065934066,2010–2023
FULL_2010_2023,RMC,Territorial GHG,0.5366300366300365,2010–2023
FULL_2010_2023,CMUR,Consumption-based GHG footprint,0.0842490842490842,2010–2023
FULL_2010_2023,DMC,Consumption-based GHG footprint,0.4719169719169719,2010–2023
FULL_2010_2023,RMC,Consumption-based GHG footprint,0.688034188034188,2010–2023
EARLY_2010_2016,CMUR,Territorial GHG,-0.2137731175583235,2010–2016
EARLY_2010_2016,DMC,Territorial GHG,0.2521367521367521,2010–2016
EARLY_2010_2016,RMC,Territorial GHG,0.4365079365079364,2010–2016
EARLY_2010_2016,CMUR,Consumption-based GHG footprint,-0.1850664417719201,2010–2016
EARLY_2010_2016,DMC,Consumption-based GHG footprint,0.5006105006105006,2010–2016
EARLY_2010_2016,RMC,Consumption-based GHG footprint,0.6862026862026862,2010–2016
LATE_2017_2023,CMUR,Territorial GHG,0.094017094017094,2017–2023
LATE_2017_2023,DMC,Territorial GHG,0.6001221001221001,2017–2023
LATE_2017_2023,RMC,Territorial GHG,0.4206349206349206,2017–2023
LATE_2017_2023,CMUR,Consumption-based GHG footprint,0.0879120879120879,2017–2023
LATE_2017_2023,DMC,Consumption-based GHG footprint,0.4603174603174603,2017–2023
LATE_2017_2023,RMC,Consumption-based GHG footprint,0.427960927960928,2017–2023
