period,material_representation,climate_perspective,correlation,correlation_value,spearman_reference,n_countries
FULL_2010_2023,CMUR,Territorial GHG,kendall,0.0484330484330484,0.0921855921855921,27
FULL_2010_2023,DMC,Territorial GHG,kendall,0.2763532763532764,0.4065934065934066,27
FULL_2010_2023,RMC,Territorial GHG,kendall,0.3504273504273504,0.5366300366300365,27
FULL_2010_2023,CMUR,Consumption-based GHG footprint,kendall,0.0883190883190883,0.0842490842490842,27
FULL_2010_2023,DMC,Consumption-based GHG footprint,kendall,0.3162393162393163,0.4719169719169719,27
FULL_2010_2023,RMC,Consumption-based GHG footprint,kendall,0.4928774928774929,0.688034188034188,27
FULL_2010_2023,CMUR,Territorial GHG,pearson,0.1131205066675683,0.0921855921855921,27
FULL_2010_2023,DMC,Territorial GHG,pearson,0.4037170741783327,0.4065934065934066,27
FULL_2010_2023,RMC,Territorial GHG,pearson,0.5583054975767748,0.5366300366300365,27
FULL_2010_2023,CMUR,Consumption-based GHG footprint,pearson,0.0197502657789419,0.0842490842490842,27
FULL_2010_2023,DMC,Consumption-based GHG footprint,pearson,0.5523091100816752,0.4719169719169719,27
FULL_2010_2023,RMC,Consumption-based GHG footprint,pearson,0.7571120036091447,0.688034188034188,27
EARLY_2010_2016,CMUR,Territorial GHG,kendall,-0.1258952939749033,-0.2137731175583235,27
EARLY_2010_2016,DMC,Territorial GHG,kendall,0.1965811965811966,0.2521367521367521,27
EARLY_2010_2016,RMC,Territorial GHG,kendall,0.2934472934472935,0.4365079365079364,27
EARLY_2010_2016,CMUR,Consumption-based GHG footprint,kendall,-0.1144502672499121,-0.1850664417719201,27
EARLY_2010_2016,DMC,Consumption-based GHG footprint,kendall,0.396011396011396,0.5006105006105006,27
EARLY_2010_2016,RMC,Consumption-based GHG footprint,kendall,0.5042735042735044,0.6862026862026862,27
EARLY_2010_2016,CMUR,Territorial GHG,pearson,-0.3813093802242483,-0.2137731175583235,27
EARLY_2010_2016,DMC,Territorial GHG,pearson,-0.1518341764979585,0.2521367521367521,27
EARLY_2010_2016,RMC,Territorial GHG,pearson,0.2704779233530025,0.4365079365079364,27
EARLY_2010_2016,CMUR,Consumption-based GHG footprint,pearson,-0.0953244683198584,-0.1850664417719201,27
EARLY_2010_2016,DMC,Consumption-based GHG footprint,pearson,0.2432772834697674,0.5006105006105006,27
EARLY_2010_2016,RMC,Consumption-based GHG footprint,pearson,0.5250130806478621,0.6862026862026862,27
LATE_2017_2023,CMUR,Territorial GHG,kendall,0.0655270655270655,0.094017094017094,27
LATE_2017_2023,DMC,Territorial GHG,kendall,0.4301994301994303,0.6001221001221001,27
LATE_2017_2023,RMC,Territorial GHG,kendall,0.3048433048433049,0.4206349206349206,27
LATE_2017_2023,CMUR,Consumption-based GHG footprint,kendall,0.0484330484330484,0.0879120879120879,27
LATE_2017_2023,DMC,Consumption-based GHG footprint,kendall,0.3561253561253562,0.4603174603174603,27
LATE_2017_2023,RMC,Consumption-based GHG footprint,kendall,0.3105413105413106,0.427960927960928,27
LATE_2017_2023,CMUR,Territorial GHG,pearson,0.1137008914486536,0.094017094017094,27
LATE_2017_2023,DMC,Territorial GHG,pearson,0.6462814884233488,0.6001221001221001,27
LATE_2017_2023,RMC,Territorial GHG,pearson,0.4984848269584582,0.4206349206349206,27
LATE_2017_2023,CMUR,Consumption-based GHG footprint,pearson,-0.0058668119129897,0.0879120879120879,27
LATE_2017_2023,DMC,Consumption-based GHG footprint,pearson,0.5783428540215629,0.4603174603174603,27
LATE_2017_2023,RMC,Consumption-based GHG footprint,pearson,0.5408169740197787,0.427960927960928,27
