panel,panel_heading,evidence_class,diagnostic_key,public_label,scope_or_n,analytical_object,metric,reference_or_point,lower_value,upper_value,minimum_cell_context,maximum_cell_context,representation,method,interval_excludes_zero_n,total_countries,interpretation
A_grid_level,Panel A — Grid-level robustness and sensitivity,full_reference,baseline,Full 2010–2023 baseline,n = 27,Full-grid range,Difference in Spearman rho,0.6037851037851037,0.6037851037851037,0.6037851037851037,CMUR × consumption,RMC × consumption,,,,,Point summary of the six-cell grid; the range is a descriptive spread across the six cells.
A_grid_level,Panel A — Grid-level robustness and sensitivity,scale_or_estimand_convention,common_log_CMUR,Common-log CMUR,n = 27,Full-grid range,Difference in Spearman rho,0.7960927960927962,0.7960927960927962,0.7960927960927962,CMUR × territorial,RMC × consumption,,,,,Point summary of the six-cell grid; the range is a descriptive spread across the six cells.
A_grid_level,Panel A — Grid-level robustness and sensitivity,estimator_sensitivity,Theil_Sen,Theil–Sen,n = 27,Full-grid range,Difference in Spearman rho,0.7423687423687423,0.7423687423687423,0.7423687423687423,CMUR × consumption,RMC × consumption,,,,,Point summary of the six-cell grid; the range is a descriptive spread across the six cells.
A_grid_level,Panel A — Grid-level robustness and sensitivity,scale_or_estimand_convention,total_scale,Total scale,n = 27,Full-grid range,Difference in Spearman rho,0.5525030525030525,0.5525030525030525,0.5525030525030525,CMUR × consumption,RMC × consumption,,,,,Point summary of the six-cell grid; the range is a descriptive spread across the six cells.
A_grid_level,Panel A — Grid-level robustness and sensitivity,temporal_support_convention,common_even_year,Common even-year,n = 27,Full-grid range,Difference in Spearman rho,0.5695970695970696,0.5695970695970696,0.5695970695970696,CMUR × territorial,RMC × consumption,,,,,Point summary of the six-cell grid; the range is a descriptive spread across the six cells.
A_grid_level,Panel A — Grid-level robustness and sensitivity,event_defined_temporal_sensitivity,exclude_2020_2021,Exclude 2020 and 2021,n = 27; 12 retained calendar years,Full-grid range,Difference in Spearman rho,0.553113553113553,0.553113553113553,0.553113553113553,CMUR × consumption,RMC × consumption,,,,,All five trajectories re-estimated after excluding calendar years 2020 and 2021.
A_grid_level,Panel A — Grid-level robustness and sensitivity,deletion_robustness,LOCO,Leave-one-country-out,27 runs; n = 26 each,Full-grid range,Difference in Spearman rho,0.6037851037851037,0.4697435897435896,0.7329914529914529,,,,,,,Deletion-run interval across full-grid ranges; the reference is the Full 2010–2023 grid range.
A_grid_level,Panel A — Grid-level robustness and sensitivity,deletion_robustness,LOYO,Leave-one-year-out,14 runs; n = 27 each,Full-grid range,Difference in Spearman rho,0.6037851037851037,0.5457875457875458,0.6282051282051283,,,,,,,Deletion-run interval across full-grid ranges; the reference is the Full 2010–2023 grid range.
A_grid_level,Panel A — Grid-level robustness and sensitivity,bootstrap_diagnostic,bootstrap_block_2,"Joint residual-block bootstrap, block 2","n = 27; B = 10,000",Full-grid range,Difference in Spearman rho,0.615995115995116,0.4938949938949939,0.7399267399267399,CMUR × consumption,RMC × consumption,,,,,Median and 2.5–97.5% bootstrap diagnostic range; cell identities shown are modal extreme-cell identities across realizations.
A_grid_level,Panel A — Grid-level robustness and sensitivity,bootstrap_diagnostic,bootstrap_block_3,"Joint residual-block bootstrap, block 3","n = 27; B = 10,000",Full-grid range,Difference in Spearman rho,0.6190476190476191,0.5006105006105006,0.7362637362637363,CMUR × consumption,RMC × consumption,,,,,Median and 2.5–97.5% bootstrap diagnostic range; cell identities shown are modal extreme-cell identities across realizations.
