panel,object_id,object_label,group_or_context,n_countries,metric,value,auxiliary_value_1,auxiliary_value_2,countries,note
A_source_status,CMUR|BLANK,CMUR,BLANK,,Country-year observations,377.0,,,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,no observation-status flag
A_source_status,CMUR|b,CMUR,b,,Country-year observations,1.0,,,EL,break in time series
A_source_status,DMC|BLANK,DMC,BLANK,,Country-year observations,356.0,,,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,no observation-status flag
A_source_status,DMC|e,DMC,e,,Country-year observations,12.0,,,BG;EL;NL,estimated
A_source_status,DMC|i,DMC,i,,Country-year observations,10.0,,,RO,value imputed by Eurostat or other receiving agencies
A_source_status,RMC|BLANK,RMC,BLANK,,Country-year observations,206.0,,,AT;BE;CY;CZ;DE;DK;EE;FR;HR;LT;LU;MT;PT;RO;SI,no observation-status flag
A_source_status,RMC|i,RMC,i,,Country-year observations,172.0,,,BE;BG;EE;EL;ES;FI;HU;IE;IT;LV;NL;PL;SE;SK,value imputed by Eurostat or other receiving agencies
A_source_status,territorial_GHG|BLANK,territorial_GHG,BLANK,,Country-year observations,378.0,,,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,no observation-status flag
A_source_status,consumption_GHG|BLANK,consumption_GHG,BLANK,,Country-year observations,378.0,,,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,no observation-status flag
A_source_status,population_denominator|BLANK,population_denominator,BLANK,,Country-year observations,348.0,,,AT;BE;BG;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;MT;NL;PL;PT;RO;SE;SI;SK,no observation-status flag
A_source_status,population_denominator|b,population_denominator,b,,Country-year observations,15.0,,,BE;CZ;DE;FR;HU;LU;LV;PL;PT,break in time series
A_source_status,population_denominator|be,population_denominator,be,,Country-year observations,2.0,,,PL;RO,break in time series; estimated
A_source_status,population_denominator|e,population_denominator,e,,Country-year observations,12.0,,,PL;RO,estimated
A_source_status,population_denominator|p,population_denominator,p,,Country-year observations,1.0,,,FR,provisional
B_published_vs_common,FULL_2010_2023|DMC,DMC,FULL_2010_2023,27.0,Spearman rho,0.998168498168498,0.1481481481481481,2.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,FULL_2010_2023|RMC,RMC,FULL_2010_2023,27.0,Spearman rho,1.0,0.0,0.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,FULL_2010_2023|TERR,TERR,FULL_2010_2023,27.0,Spearman rho,0.998168498168498,0.2222222222222222,1.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,FULL_2010_2023|CFOOT,CFOOT,FULL_2010_2023,27.0,Spearman rho,0.998168498168498,0.1481481481481481,2.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,EARLY_2010_2016|DMC,DMC,EARLY_2010_2016,27.0,Spearman rho,1.0,0.0,0.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,EARLY_2010_2016|RMC,RMC,EARLY_2010_2016,27.0,Spearman rho,1.0,0.0,0.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,EARLY_2010_2016|TERR,TERR,EARLY_2010_2016,27.0,Spearman rho,0.9914529914529916,0.5185185185185185,4.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,EARLY_2010_2016|CFOOT,CFOOT,EARLY_2010_2016,27.0,Spearman rho,1.0,0.0,0.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,LATE_2017_2023|DMC,DMC,LATE_2017_2023,27.0,Spearman rho,0.9871794871794872,0.4444444444444444,6.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,LATE_2017_2023|RMC,RMC,LATE_2017_2023,27.0,Spearman rho,1.0,0.0,0.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,LATE_2017_2023|TERR,TERR,LATE_2017_2023,27.0,Spearman rho,0.992063492063492,0.5185185185185185,3.0,,Auxiliary values are mean and maximum absolute rank displacement.
B_published_vs_common,LATE_2017_2023|CFOOT,CFOOT,LATE_2017_2023,27.0,Spearman rho,0.9975579975579976,0.2222222222222222,2.0,,Auxiliary values are mean and maximum absolute rank displacement.
C_tie_groups,tie_01,CMUR,EARLY_2010_2016|primary_common_pc|OLS|pp|CMUR,2.0,Canonical tied value,0.071428571429,2.3592239273284576e-16,,PT;SK,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_02,CMUR,EARLY_2010_2016|primary_common_pc|OLS|pp|CMUR,2.0,Canonical tied value,0.360714285714,6.217248937900877e-15,,BG;CZ,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_03,CMUR,EARLY_2010_2016|primary_common_pc|OLS|pp|CMUR,2.0,Canonical tied value,0.760714285714,3.0420110874729296e-14,,BE;NL,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_04,CMUR,EARLY_2010_2016|published_pc|OLS|pp|CMUR,2.0,Canonical tied value,0.071428571429,2.3592239273284576e-16,,PT;SK,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_05,CMUR,EARLY_2010_2016|published_pc|OLS|pp|CMUR,2.0,Canonical tied value,0.360714285714,6.217248937900877e-15,,BG;CZ,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_06,CMUR,EARLY_2010_2016|published_pc|OLS|pp|CMUR,2.0,Canonical tied value,0.760714285714,3.0420110874729296e-14,,BE;NL,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_07,CMUR,EARLY_2010_2016|primary_common_pc|THEIL_SEN|pp|CMUR,4.0,Canonical tied value,0.1,3.6082248300317592e-16,,CY;EE;HU;SK,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_08,CMUR,EARLY_2010_2016|total_scale|OLS|pp|CMUR,2.0,Canonical tied value,0.071428571429,2.3592239273284576e-16,,PT;SK,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_09,CMUR,EARLY_2010_2016|total_scale|OLS|pp|CMUR,2.0,Canonical tied value,0.360714285714,6.217248937900877e-15,,BG;CZ,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_10,CMUR,EARLY_2010_2016|total_scale|OLS|pp|CMUR,2.0,Canonical tied value,0.760714285714,3.0420110874729296e-14,,BE;NL,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_11,CMUR,LATE_2017_2023|primary_common_pc|THEIL_SEN|pp|CMUR,2.0,Canonical tied value,0.04,1.8041124150158796e-16,,AT;IE,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
C_tie_groups,tie_12,CMUR,LATE_2017_2023|primary_common_pc|THEIL_SEN|pp|CMUR,2.0,Canonical tied value,0.25,0.0,,BE;HR,12-decimal numerical canonicalization prevents implementation-dependent rank splitting of machine-scale numerical ties.
D_selected_scale,common_even_year,Common even-year sensitivity,selected endpoint (secondary),27.0,Difference in Spearman rho,0.5695970695970696,,,,Selected endpoint is secondary descriptive evidence; full-grid evidence is reported separately.
D_selected_scale,total_scale,Total-scale sensitivity,selected endpoint (secondary),27.0,Difference in Spearman rho,0.4304029304029304,,,,Selected endpoint is secondary descriptive evidence; full-grid evidence is reported separately.
E_population_any_flag,CMUR_to_DMC|at_least_one_population_flag,CMUR → DMC,at_least_one_population_flag,10.0,Mean absolute rank displacement,8.3,,,BE;CZ;DE;FR;HU;LU;LV;PL;PT;RO,A country-level any-flag diagnostic did not show a uniform pattern of larger mean absolute rank displacement among Member States carrying population-denominator status flags across all three comparison axes. This diagnostic is descriptive and does not identify an effect of status flags.
E_population_any_flag,CMUR_to_DMC|no_population_flag,CMUR → DMC,no_population_flag,17.0,Mean absolute rank displacement,7.235294117647059,,,AT;BG;CY;DK;EE;EL;ES;FI;HR;IE;IT;LT;MT;NL;SE;SI;SK,A country-level any-flag diagnostic did not show a uniform pattern of larger mean absolute rank displacement among Member States carrying population-denominator status flags across all three comparison axes. This diagnostic is descriptive and does not identify an effect of status flags.
E_population_any_flag,DMC_to_RMC|at_least_one_population_flag,DMC → RMC,at_least_one_population_flag,10.0,Mean absolute rank displacement,3.7,,,BE;CZ;DE;FR;HU;LU;LV;PL;PT;RO,A country-level any-flag diagnostic did not show a uniform pattern of larger mean absolute rank displacement among Member States carrying population-denominator status flags across all three comparison axes. This diagnostic is descriptive and does not identify an effect of status flags.
E_population_any_flag,DMC_to_RMC|no_population_flag,DMC → RMC,no_population_flag,17.0,Mean absolute rank displacement,3.235294117647059,,,AT;BG;CY;DK;EE;EL;ES;FI;HR;IE;IT;LT;MT;NL;SE;SI;SK,A country-level any-flag diagnostic did not show a uniform pattern of larger mean absolute rank displacement among Member States carrying population-denominator status flags across all three comparison axes. This diagnostic is descriptive and does not identify an effect of status flags.
E_population_any_flag,TERR_to_CFOOT|at_least_one_population_flag,Territorial → consumption-based GHG,at_least_one_population_flag,10.0,Mean absolute rank displacement,2.5,,,BE;CZ;DE;FR;HU;LU;LV;PL;PT;RO,A country-level any-flag diagnostic did not show a uniform pattern of larger mean absolute rank displacement among Member States carrying population-denominator status flags across all three comparison axes. This diagnostic is descriptive and does not identify an effect of status flags.
E_population_any_flag,TERR_to_CFOOT|no_population_flag,Territorial → consumption-based GHG,no_population_flag,17.0,Mean absolute rank displacement,3.588235294117647,,,AT;BG;CY;DK;EE;EL;ES;FI;HR;IE;IT;LT;MT;NL;SE;SI;SK,A country-level any-flag diagnostic did not show a uniform pattern of larger mean absolute rank displacement among Member States carrying population-denominator status flags across all three comparison axes. This diagnostic is descriptive and does not identify an effect of status flags.
